event,date_et,symbol,fill_time_et,fill_price,stamped_flip_level,raw_recalculated_atr_sell_et,recalculated_atr_sell_et,sell_deferred_from_halt,halt_windows_in_measurement,outcome,plus5_touch_et,minus8_touch_et,touch_order,trigger_time_et,exit_bid,high_bid_pct_time,low_bid_pct_time,event_return_pct,actual_exit_time_et,actual_exit_price,actual_return_pct,actual_exit_note,dependency,plus5_no_stop_return_pct,plus10_no_stop_return_pct,window,bid_print_gate
1,2026-08-24,PMI,Schwab: 07:32:02.000; Webull: 07:32:04.446,Schwab: 4.3600; Webull: 4.3600,Schwab: 4.3581; Webull: 4.3581,07:46:00.000,07:46:00.000,no,0,exited on ATR flip,Schwab: NA; Webull: NA,Schwab: NA; Webull: NA,Schwab: not both touched; Webull: not both touched,Schwab: 07:46:02.625; Webull: 07:46:02.625,Schwab: 4.3000; Webull: 4.3000,Schwab: +0.4587% @ 7.456m; Webull: +0.4587% @ 7.415m,Schwab: -1.8349% @ 12.204m; Webull: -1.8349% @ 12.164m,-1.3761,Schwab: 07:46:02.000; Webull: 07:46:04.045,Schwab: 4.3003; Webull: 4.3000,-1.3716,Schwab: CW_FLIP; Webull: CW_FLIP,depends on recalculated ATR SELL endpoint,-1.3761,-1.3761,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=4.3800 print=4.3900; Webull: bid=4.3800 print=4.3900
2,2026-08-24,BTCT,Webull: 09:26:59.338,Webull: 1.6893,Webull: 1.6765,09:33:00.000,09:33:00.000,no,0,exited at -8%,Webull: NA,Webull: 09:31:31.114,Webull: not both touched,Webull: 09:31:31.114,Webull: 1.5500,Webull: -0.5505% @ 0.003m,Webull: -8.8380% @ 4.551m,-8.2460,Webull: 09:30:39.103,Webull: 1.6013,-5.2093,Webull: CW_HARD_STOP,endpoint-independent,-7.0621,-7.0621,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=1.6800 print=1.6900
3,2026-08-24,XPON,Schwab: 09:33:25.000; Webull: 09:33:25.665,Schwab: 8.7200; Webull: 8.7150,Schwab: 8.7173; Webull: 8.7173,10:09:00.000,10:09:00.000,no,2,exited at -8%,Schwab: NA; Webull: NA,Schwab: 09:34:37.041; Webull: 09:34:37.044,Schwab: not both touched; Webull: not both touched,Schwab: 09:34:37.041; Webull: 09:34:37.044,Schwab: 8.0200; Webull: 8.0100,Schwab: +1.8349% @ 0.175m; Webull: +1.8933% @ 0.164m,Schwab: -42.6606% @ 33.049m; Webull: -42.6277% @ 33.038m,-8.0482,Schwab: 09:33:35.000; Webull: NA,Schwab: 8.8900; Webull: NA,NA,Schwab: native OCO target; Webull: broker fills close only 0 of 1.00000000 shares,endpoint-independent,-23.8386,-23.8386,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=8.8800 print=8.9000; Webull: bid=8.8800 print=8.9000
4,2026-08-24,BTCT,Webull: 09:54:54.944,Webull: 1.6300,Webull: 1.6343,11:11:00.000,11:11:00.000,no,1,exited at +5%,Webull: 10:03:14.380,Webull: NA,Webull: not both touched,Webull: 10:03:14.380,Webull: 1.7200,Webull: +68.0982% @ 32.438m,Webull: -2.4540% @ 0.606m,+5.5215,Webull: NA,Webull: NA,NA,Webull: broker fills close only 0 of 1.00000000 shares,endpoint-independent,+5.5215,+10.4294,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=2.7400 print=2.7500
5,2026-08-24,XPON,Schwab: 10:54:00.000,Schwab: 7.1191,Schwab: 7.1226,12:25:00.000,12:25:00.000,no,2,exited at +5%,Schwab: 11:07:54.171,Schwab: 11:33:00.383,Schwab: +5 first,Schwab: 11:07:54.171,Schwab: 7.4800,Schwab: +29.7917% @ 31.949m,Schwab: -21.0574% @ 39.006m,+5.0695,Schwab: 10:56:32.000,Schwab: 7.2700,+2.1196,Schwab: native OCO target,endpoint-independent,+5.0695,+10.1263,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=9.2400 print=9.2600
6,2026-08-24,DAIC,Webull: 11:12:20.955; Schwab: 11:12:21.000,Webull: 1.9399; Schwab: 1.9400,Webull: 1.9387; Schwab: 1.9387,11:37:00.000,11:41:47.333,yes,4,exited at +5%,Webull: 11:14:04.039; Schwab: 11:14:04.039,Webull: 11:20:45.719; Schwab: 11:20:45.719,Webull: +5 first; Schwab: +5 first,Webull: 11:14:04.039; Schwab: 11:14:04.039,Webull: 2.0400; Schwab: 2.0400,Webull: +20.1093% @ 13.896m; Schwab: +20.1031% @ 13.895m,Webull: -32.4707% @ 24.156m; Schwab: -32.4742% @ 24.155m,+5.1564,Webull: NA; Schwab: 11:15:27.000,Webull: NA; Schwab: 2.1200,NA,Webull: broker fills close only 0 of 1.00000000 shares; Schwab: native OCO target,endpoint-independent,+5.1564,+9.2802,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Webull: bid=2.3300 print=2.3500; Schwab: bid=2.3300 print=2.3500
7,2026-08-24,DAIC,Schwab: 11:54:34.000,Schwab: 2.2487,Schwab: 2.2478,12:38:00.000,12:38:00.000,no,5,exited at +5%,Schwab: 11:55:31.764,Schwab: 12:05:46.797,Schwab: +5 first,Schwab: 11:55:31.764,Schwab: 2.3700,Schwab: +13.3989% @ 11.213m,Schwab: -43.5229% @ 43.195m,+5.3942,Schwab: 12:56:10.000,Schwab: 2.5300,+12.5094,Schwab: native OCO target,endpoint-independent,+5.3942,-15.9514,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=2.5500 print=2.5900
8,2026-08-24,DAIC,Schwab: 12:56:10.000,Schwab: 2.4800,Schwab: 2.4837,14:33:00.000,14:33:00.000,no,11,exited at +5%,Schwab: 12:56:50.187,Schwab: 13:29:40.008,Schwab: +5 first,Schwab: 12:56:50.187,Schwab: 2.6200,Schwab: +25.8065% @ 68.602m,Schwab: -5.6452% @ 33.501m,+5.6452,Schwab: 14:10:03.000,Schwab: 2.8200,+13.7097,Schwab: native OCO target,endpoint-independent,+5.6452,+10.0806,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=3.1200 print=3.1300
9,2026-08-24,XPON,Schwab: 13:03:07.000,Schwab: 7.6300,Schwab: 7.6291,14:19:00.000,14:19:00.000,no,1,exited at -8%,Schwab: NA,Schwab: 13:09:55.553,Schwab: not both touched,Schwab: 13:09:55.553,Schwab: 7.0100,Schwab: -0.3932% @ 0.012m,Schwab: -38.9253% @ 12.060m,-8.1258,Schwab: 13:09:42.000,Schwab: 7.2500,-4.9803,Schwab: native OCO stop,endpoint-independent,-9.0433,-9.0433,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=7.6000 print=7.6500
10,2026-08-24,XPON,Schwab: 13:31:58.000,Schwab: 7.2100,Schwab: 7.2108,14:19:00.000,14:19:00.000,no,0,exited on ATR flip,Schwab: NA,Schwab: NA,Schwab: not both touched,Schwab: 14:19:00.208,Schwab: 6.9400,Schwab: +4.0222% @ 34.624m,Schwab: -6.9348% @ 46.791m,-3.7448,Schwab: 13:33:31.000,Schwab: 7.3600,+2.0804,Schwab: native OCO target,depends on recalculated ATR SELL endpoint,-3.7448,-3.7448,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=7.5000 print=7.5200
11,2026-08-24,LUCY,Schwab: 13:50:43.000; Webull: 13:50:43.613,Schwab: 1.0800; Webull: 1.0800,Schwab: 1.0807; Webull: 1.0807,15:12:00.000,15:12:00.000,no,0,exited on ATR flip,Schwab: NA; Webull: NA,Schwab: NA; Webull: NA,Schwab: not both touched; Webull: not both touched,Schwab: 15:12:00.091; Webull: 15:12:00.091,Schwab: 1.0400; Webull: 1.0400,Schwab: +0.9259% @ 60.119m; Webull: +0.9259% @ 60.108m,Schwab: -3.7037% @ 4.976m; Webull: -3.7037% @ 4.966m,-3.7037,Schwab: 14:50:51.000; Webull: NA,Schwab: 1.1000; Webull: NA,NA,Schwab: native OCO target; Webull: broker fills close only 0 of 1.00000000 shares,depends on recalculated ATR SELL endpoint,-3.7037,-3.7037,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=1.0900 print=1.1000; Webull: bid=1.0900 print=1.1000
12,2026-08-24,XPON,Schwab: 14:38:42.000,Schwab: 7.3800,Schwab: 7.3751,15:07:00.000,15:07:00.000,no,0,exited at +5%,Schwab: 14:55:11.391,Schwab: NA,Schwab: not both touched,Schwab: 14:55:11.391,Schwab: 7.7500,Schwab: +8.2656% @ 16.492m,Schwab: -7.3171% @ 17.166m,+5.0136,Schwab: 14:51:18.000,Schwab: 7.5200,+1.8970,Schwab: native OCO target,endpoint-independent,+5.0136,-5.4201,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=7.9900 print=8.0000
13,2026-08-24,PMI,Schwab: 15:13:59.000; Webull: 15:13:59.237,Schwab: 4.6500; Webull: 4.6690,Schwab: 4.6501; Webull: 4.6501,none; 16:00 backstop,none; 16:00 backstop,no,0,exited at +5%,Schwab: 15:49:47.562; Webull: 15:49:51.423,Schwab: NA; Webull: NA,Schwab: not both touched; Webull: not both touched,Schwab: 15:49:47.562; Webull: 15:49:51.423,Schwab: 4.8900; Webull: 4.9100,Schwab: +13.3333% @ 45.965m; Webull: +12.8721% @ 45.961m,Schwab: -3.2258% @ 5.758m; Webull: -3.6196% @ 5.754m,+5.1614,Schwab: 15:15:54.000; Webull: NA,Schwab: 4.7400; Webull: NA,NA,Schwab: native OCO target; Webull: broker fills close only 0 of 1.00000000 shares,endpoint-independent,+5.1614,+10.1010,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=5.2700 print=5.3000; Webull: bid=5.2700 print=5.3000
14,2026-08-24,LUCY,Schwab: 15:19:10.000,Schwab: 1.0800,Schwab: 1.0806,15:39:00.000,15:39:00.000,no,0,exited on ATR flip,Schwab: NA,Schwab: NA,Schwab: not both touched,Schwab: 15:39:05.663,Schwab: 1.0500,Schwab: +2.7778% @ 0.751m,Schwab: -3.7037% @ 0.000m,-2.7778,Schwab: 15:19:40.000,Schwab: 1.1000,+1.8519,Schwab: native OCO target,depends on recalculated ATR SELL endpoint,-2.7778,-2.7778,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=1.1100 print=1.1150
15,2026-08-25,DAIC,Schwab: 11:36:51.000; Webull: 11:36:51.957,Schwab: 3.2000; Webull: 3.2000,Schwab: 3.1950; Webull: 3.1950,13:14:00.000,13:14:00.000,no,0,exited at +5%,Schwab: 12:05:00.721; Webull: 12:05:00.721,Schwab: NA; Webull: NA,Schwab: not both touched; Webull: not both touched,Schwab: 12:05:00.721; Webull: 12:05:00.721,Schwab: 3.3600; Webull: 3.3600,Schwab: +31.2500% @ 50.252m; Webull: +31.2500% @ 50.236m,Schwab: -4.0625% @ 17.092m; Webull: -4.0625% @ 17.076m,+5.0000,Schwab: 12:05:00.000; Webull: NA,Schwab: 3.2600; Webull: NA,NA,Schwab: native OCO target; Webull: broker fills close only 0 of 1.00000000 shares,endpoint-independent,+5.0000,+10.0000,actual resting fill -> recalculated ATR SELL; 16:00 backstop,Schwab: bid=4.2000 print=4.2200; Webull: bid=4.2000 print=4.2200
