policy,population,trades,targets,floors,trails,closes,wins,losses,scratches,win_rate_pct,total_return_pct,mean_return_pct,median_return_pct,profit_factor,reached_plus_1,reached_plus_2,mean_mfe_pct,mean_mae_pct,median_duration_seconds
target+1_floor+0,all,120,0,120,0,0,0,118,2,0.0,-87.7622,-0.7314,-0.6149,0.0,0,0,0.0,-0.7589,0.6
target+1_floor+0,first,58,0,58,0,0,0,57,1,0.0,-39.0769,-0.6737,-0.6256,0.0,0,0,0.0,-0.6983,0.6
target+1_floor+0,reclaim,62,0,62,0,0,0,61,1,0.0,-48.6853,-0.7852,-0.5871,0.0,0,0,0.0,-0.8155,0.6
target+1_floor-1,all,119,23,96,0,0,23,96,0,19.328,-97.9976,-0.8235,-1.106,0.1901,23,0,0.3129,-1.1806,9.1
target+1_floor-1,first,58,11,47,0,0,11,47,0,18.966,-47.3497,-0.8164,-1.1167,0.1885,11,0,0.309,-1.1614,9.0
target+1_floor-1,reclaim,61,12,49,0,0,12,49,0,19.672,-50.6478,-0.8303,-1.0753,0.1915,12,0,0.3166,-1.1988,9.1
target+1_floor-2,all,119,44,75,0,0,44,75,0,36.975,-122.1084,-1.0261,-2.0344,0.2649,44,0,0.5431,-1.8067,36.3
target+1_floor-2,first,58,21,37,0,0,21,37,0,36.207,-61.5769,-1.0617,-2.0607,0.2543,21,0,0.516,-1.8332,39.3
target+1_floor-2,reclaim,61,23,38,0,0,23,38,0,37.705,-60.5315,-0.9923,-2.0298,0.2753,23,0,0.5689,-1.7814,32.1
target+2_floor+0,all,120,0,120,0,0,0,118,2,0.0,-87.7622,-0.7314,-0.6149,0.0,0,0,0.0,-0.7589,0.6
target+2_floor+0,first,58,0,58,0,0,0,57,1,0.0,-39.0769,-0.6737,-0.6256,0.0,0,0,0.0,-0.6983,0.6
target+2_floor+0,reclaim,62,0,62,0,0,0,61,1,0.0,-48.6853,-0.7852,-0.5871,0.0,0,0,0.0,-0.8155,0.6
target+2_floor-1,all,119,12,107,0,0,12,107,0,10.084,-110.1817,-0.9259,-1.1161,0.1789,23,12,0.4328,-1.2263,12.9
target+2_floor-1,first,58,6,52,0,0,6,52,0,10.345,-51.9999,-0.8965,-1.1212,0.1875,11,6,0.4277,-1.1996,19.0
target+2_floor-1,reclaim,61,6,55,0,0,6,55,0,9.836,-58.1818,-0.9538,-1.1111,0.171,12,6,0.4375,-1.2518,9.1
target+2_floor-2,all,118,33,85,0,0,33,85,0,27.966,-121.5434,-1.03,-2.0607,0.3519,45,33,0.8656,-1.9504,59.2
target+2_floor-2,first,58,16,42,0,0,16,42,0,27.586,-61.0396,-1.0524,-2.0664,0.3439,21,16,0.8157,-1.965,68.5
target+2_floor-2,reclaim,60,17,43,0,0,17,43,0,28.333,-60.5037,-1.0084,-2.0496,0.3598,24,17,0.9139,-1.9363,46.6
