policy,population,trades,targets,floors,closes,wins,losses,scratches,win_rate_pct,total_return_pct,mean_return_pct,median_return_pct,profit_factor,reached_plus_1,reached_plus_2,mean_mfe_pct,mean_mae_pct,median_duration_seconds
target+1_floor+0,all,18,0,18,0,0,18,0,0.0,-19.1814,-1.0656,-0.9607,0.0,0,0,0.0,-1.1312,1.1
target+1_floor+0,first,7,0,7,0,0,7,0,0.0,-5.3586,-0.7655,-0.8889,0.0,0,0,0.0,-0.8502,0.7
target+1_floor+0,reclaim,11,0,11,0,0,11,0,0.0,-13.8227,-1.2566,-1.0582,0.0,0,0,0.0,-1.3101,1.1
target+1_floor-1,all,18,1,17,0,1,17,0,5.556,-22.7931,-1.2663,-1.2047,0.042,1,0,0.1197,-1.4252,1.9
target+1_floor-1,first,7,1,6,0,1,6,0,14.286,-6.4558,-0.9223,-1.0582,0.1341,1,0,0.2399,-1.2553,6.5
target+1_floor-1,reclaim,11,0,11,0,0,11,0,0.0,-16.3373,-1.4852,-1.3196,0.0,0,0,0.0433,-1.5333,1.7
target+1_floor-2,all,18,6,12,0,6,12,0,33.333,-20.3544,-1.1308,-1.9057,0.2277,6,0,0.4462,-1.9898,36.0
target+1_floor-2,first,7,3,4,0,3,4,0,42.857,-5.1138,-0.7305,-1.6845,0.3697,3,0,0.578,-1.8288,40.4
target+1_floor-2,reclaim,11,3,8,0,3,8,0,27.273,-15.2406,-1.3855,-2.0438,0.1645,3,0,0.3622,-2.0922,23.3
target+2_floor+0,all,18,0,18,0,0,18,0,0.0,-19.1814,-1.0656,-0.9607,0.0,0,0,0.0,-1.1312,1.1
target+2_floor+0,first,7,0,7,0,0,7,0,0.0,-5.3586,-0.7655,-0.8889,0.0,0,0,0.0,-0.8502,0.7
target+2_floor+0,reclaim,11,0,11,0,0,11,0,0.0,-13.8227,-1.2566,-1.0582,0.0,0,0,0.0,-1.3101,1.1
target+2_floor-1,all,18,1,17,0,1,17,0,5.556,-21.7931,-1.2107,-1.2047,0.0841,1,1,0.1745,-1.4252,1.9
target+2_floor-1,first,7,1,6,0,1,6,0,14.286,-5.4558,-0.7794,-1.0582,0.2682,1,1,0.3806,-1.2553,6.5
target+2_floor-1,reclaim,11,0,11,0,0,11,0,0.0,-16.3373,-1.4852,-1.3196,0.0,0,0,0.0433,-1.5333,1.7
target+2_floor-2,all,18,4,14,0,4,14,0,22.222,-22.6371,-1.2576,-2.0691,0.2611,6,4,0.7268,-2.0965,58.3
target+2_floor-2,first,7,3,4,0,3,4,0,42.857,-2.1138,-0.302,-1.6845,0.7395,3,3,1.0146,-1.8288,71.2
target+2_floor-2,reclaim,11,1,10,0,1,10,0,9.091,-20.5233,-1.8658,-2.0833,0.0888,3,1,0.5437,-2.2668,23.3
