checkpoint_minutes,conditions,condition_count,build_winner_total,build_loser_total,build_winner_assessed,build_loser_assessed,build_winner_removed,build_loser_removed,build_winner_kept,build_loser_kept,build_winner_keep_rate,build_loser_remove_rate,build_unassessed,holdout_winner_total,holdout_loser_total,holdout_winner_assessed,holdout_loser_assessed,holdout_winner_removed,holdout_loser_removed,holdout_winner_kept,holdout_loser_kept,holdout_winner_keep_rate,holdout_loser_remove_rate,holdout_unassessed
0,price_vs_entry_pct >= -3 AND volume_ratio_20 <= +2,2,28,39,28,39,6,21,22,18,0.7857142857142857,0.5384615384615384,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0
0,price_vs_entry_pct >= -3 AND price_vs_vwap_pct >= -2,2,28,39,28,39,8,21,20,18,0.7142857142857143,0.5384615384615384,0,14,16,14,16,3,7,11,9,0.7857142857142857,0.4375,0
0,price_vs_entry_pct >= -1 AND volume_ratio_20 <= +2,2,28,39,28,39,6,20,22,19,0.7857142857142857,0.5128205128205128,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0
0,price_vs_entry_pct >= -1 AND price_vs_vwap_pct >= -2,2,28,39,28,39,7,21,21,18,0.75,0.5384615384615384,0,14,16,14,16,3,6,11,10,0.7857142857142857,0.375,0
0,price_vs_entry_pct <= +0 AND volume_ratio_20 <= +2,2,28,39,28,39,7,22,21,17,0.75,0.5641025641025641,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0
0,max_down_so_far_pct >= -5 AND volume_ratio_20 <= +2,2,28,39,28,39,7,21,21,18,0.75,0.5384615384615384,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0
0,volume_ratio_20 >= +0.5 AND price_vs_vwap_pct >= -2,2,28,39,28,39,8,20,20,19,0.7142857142857143,0.5128205128205128,0,14,16,14,16,2,7,12,9,0.8571428571428571,0.4375,0
0,volume_ratio_20 >= +1 AND price_vs_vwap_pct >= -2,2,28,39,28,39,8,18,20,21,0.7142857142857143,0.46153846153846156,0,14,16,14,16,2,7,12,9,0.8571428571428571,0.4375,0
0,volume_ratio_20 <= +2 AND rsi >= +50,2,28,39,28,39,7,20,21,19,0.75,0.5128205128205128,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0
0,volume_ratio_20 <= +2 AND price_vs_vwap_pct <= +0,2,28,39,28,39,6,18,22,21,0.7857142857142857,0.46153846153846156,0,14,16,14,16,6,2,8,14,0.5714285714285714,0.125,0
0,volume_ratio_20 <= +2 AND price_vs_vwap_pct <= +1,2,28,39,28,39,6,19,22,20,0.7857142857142857,0.48717948717948717,0,14,16,14,16,6,2,8,14,0.5714285714285714,0.125,0
0,volume_ratio_20 <= +2 AND last_bar_direction is up,2,28,39,28,39,7,21,21,18,0.75,0.5384615384615384,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0
0,rsi >= +50 AND price_vs_vwap_pct >= -2,2,28,39,28,39,8,20,20,19,0.7142857142857143,0.5128205128205128,0,14,16,14,16,3,7,11,9,0.7857142857142857,0.4375,0
0,price_vs_entry_pct >= -3 AND volume_ratio_20 <= +2 AND rsi >= +50,3,28,39,28,39,6,20,22,19,0.7857142857142857,0.5128205128205128,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0
0,price_vs_entry_pct >= -3 AND volume_ratio_20 <= +2 AND price_vs_vwap_pct <= +1,3,28,39,28,39,5,18,23,21,0.8214285714285714,0.46153846153846156,0,14,16,14,16,6,2,8,14,0.5714285714285714,0.125,0
0,price_vs_entry_pct >= -3 AND volume_ratio_20 <= +2 AND last_bar_direction is up,3,28,39,28,39,6,20,22,19,0.7857142857142857,0.5128205128205128,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0
0,price_vs_entry_pct >= -1 AND volume_ratio_20 >= +0.5 AND price_vs_vwap_pct >= -2,3,28,39,28,39,7,20,21,19,0.75,0.5128205128205128,0,14,16,14,16,2,6,12,10,0.8571428571428571,0.375,0
0,price_vs_entry_pct >= -1 AND volume_ratio_20 >= +1 AND price_vs_vwap_pct >= -2,3,28,39,28,39,7,18,21,21,0.75,0.46153846153846156,0,14,16,14,16,2,6,12,10,0.8571428571428571,0.375,0
0,price_vs_entry_pct >= -1 AND volume_ratio_20 <= +2 AND rsi >= +50,3,28,39,28,39,6,19,22,20,0.7857142857142857,0.48717948717948717,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0
0,price_vs_entry_pct >= -1 AND volume_ratio_20 <= +2 AND last_bar_direction is up,3,28,39,28,39,6,19,22,20,0.7857142857142857,0.48717948717948717,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0
0,price_vs_entry_pct >= -1 AND rsi >= +50 AND price_vs_vwap_pct >= -2,3,28,39,28,39,7,20,21,19,0.75,0.5128205128205128,0,14,16,14,16,3,6,11,10,0.7857142857142857,0.375,0
0,max_down_so_far_pct >= -5 AND volume_ratio_20 <= +2 AND price_vs_vwap_pct <= +1,3,28,39,28,39,6,18,22,21,0.7857142857142857,0.46153846153846156,0,14,16,14,16,6,2,8,14,0.5714285714285714,0.125,0
0,max_down_so_far_pct >= -5 AND volume_ratio_20 <= +2 AND last_bar_direction is up,3,28,39,28,39,7,20,21,19,0.75,0.5128205128205128,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0
0,volume_ratio_20 >= +0.5 AND rsi >= +50 AND price_vs_vwap_pct >= -2,3,28,39,28,39,8,19,20,20,0.7142857142857143,0.48717948717948717,0,14,16,14,16,2,7,12,9,0.8571428571428571,0.4375,0
0,volume_ratio_20 <= +2 AND rsi >= +50 AND last_bar_direction is up,3,28,39,28,39,7,19,21,20,0.75,0.48717948717948717,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0
0,volume_ratio_20 <= +2 AND price_vs_vwap_pct <= +1 AND last_bar_direction is up,3,28,39,28,39,6,18,22,21,0.7857142857142857,0.46153846153846156,0,14,16,14,16,6,2,8,14,0.5714285714285714,0.125,0
3,price_vs_entry_pct >= -3 AND max_up_so_far_pct <= +1,2,28,39,28,37,8,19,20,20,0.7142857142857143,0.48717948717948717,2,14,16,14,16,9,5,5,11,0.35714285714285715,0.3125,0
3,price_vs_entry_pct <= +0 AND last_bar_direction is down,2,28,39,26,36,7,18,21,21,0.75,0.46153846153846156,5,14,16,14,16,8,12,6,4,0.42857142857142855,0.75,0
3,price_vs_entry_pct <= +1 AND volume_ratio_20 >= +1,2,28,39,26,36,7,21,21,18,0.75,0.5384615384615384,5,14,16,14,16,8,10,6,6,0.42857142857142855,0.625,0
3,max_up_so_far_pct <= +0 AND max_down_so_far_pct <= +0,2,28,39,28,39,6,19,22,20,0.7857142857142857,0.48717948717948717,0,14,16,14,16,7,6,7,10,0.5,0.375,0
