session_day_et,split,symbol,buy_signal_ts,entry_ts,entry_px,max_up_pct,max_down_pct,upside_bucket,touched_plus_1,minutes_to_plus_1,touched_plus_2,minutes_to_plus_2,touched_plus_3,minutes_to_plus_3,touched_plus_4,minutes_to_plus_4,peak_ts,post_peak_low_ts,post_peak_drawdown_pct,post_peak_low_vs_entry_pct
2026-08-24,build,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,1.69,-0.591715976331364,-8.875739644970404,below +1,False,,False,,False,,False,,2026-08-24T13:27:00.003525+00:00,2026-08-24T13:31:32.378818+00:00,-8.333333333333325,-8.875739644970404
2026-08-24,build,BTCT,2026-08-24T15:28:00+00:00,2026-08-24T15:28:00.598358+00:00,2.38,-0.42016806722687816,-13.025210084033612,below +1,False,,False,,False,,False,,2026-08-24T15:28:00.598358+00:00,2026-08-24T15:33:49.097540+00:00,-12.658227848101278,-13.025210084033612
2026-08-24,build,BTCT,2026-08-24T16:06:00+00:00,2026-08-24T16:06:00.301511+00:00,2.31,4.761904761904767,-6.926406926406936,+4 to +5,True,0.19748985000000002,True,0.31955313333333335,True,0.4331808833333334,True,0.43347785,2026-08-24T16:06:26.312709+00:00,2026-08-24T16:47:07.057819+00:00,-11.157024793388427,-6.926406926406936
2026-08-24,build,BTCT,2026-08-24T18:48:00+00:00,2026-08-24T18:48:04.154702+00:00,1.95,0.512820512820511,-6.666666666666665,below +1,False,,False,,False,,False,,2026-08-24T18:48:26.160017+00:00,2026-08-24T19:22:50.322701+00:00,-7.14285714285714,-6.666666666666665
2026-08-24,build,BTCT,2026-08-24T19:47:00+00:00,2026-08-24T19:47:00.061639+00:00,1.87,-0.5347593582887722,-3.7433155080213942,below +1,False,,False,,False,,False,,2026-08-24T19:47:00.061639+00:00,2026-08-24T19:56:58.649535+00:00,-3.2258064516129115,-3.7433155080213942
2026-08-24,build,LUCY,2026-08-24T18:51:00+00:00,2026-08-24T18:51:00.619173+00:00,1.1,-0.909090909090915,-5.454545454545457,below +1,False,,False,,False,,False,,2026-08-24T18:51:00.619173+00:00,2026-08-24T19:11:34.565135+00:00,-4.587155963302758,-5.454545454545457
2026-08-24,build,LUCY,2026-08-24T19:20:00+00:00,2026-08-24T19:20:00.988445+00:00,1.11,-0.9009009009009028,-6.3063063063063085,below +1,False,,False,,False,,False,,2026-08-24T19:20:00.988445+00:00,2026-08-24T19:37:07.677595+00:00,-5.454545454545457,-6.3063063063063085
2026-08-24,build,LUCY,2026-08-24T19:56:00+00:00,2026-08-24T19:56:00.913644+00:00,1.13,-0.8849557522123686,-3.539823008849541,below +1,False,,False,,False,,False,,2026-08-24T19:56:00.913644+00:00,2026-08-24T19:59:35.289033+00:00,-2.67857142857143,-3.539823008849541
2026-08-24,build,PMI,2026-08-24T11:34:00+00:00,2026-08-24T11:34:00.855962+00:00,4.37,0.22883295194506825,-2.059496567505714,below +1,False,,False,,False,,False,,2026-08-24T11:39:29.354010+00:00,2026-08-24T11:44:14.268139+00:00,-2.2831050228310446,-2.059496567505714
2026-08-24,build,PMI,2026-08-24T12:02:00+00:00,2026-08-24T12:02:02.082785+00:00,4.34,2.3041474654378113,-1.8433179723502335,+2 to +3,True,9.529436183333333,True,10.296165383333333,False,,False,,2026-08-24T12:12:23.685645+00:00,2026-08-24T12:35:16.887526+00:00,-3.1531531531531654,-0.9216589861751112
2026-08-24,build,PMI,2026-08-24T12:50:00+00:00,2026-08-24T12:50:03.990114+00:00,4.32,0.23148148148146586,-2.083333333333326,below +1,False,,False,,False,,False,,2026-08-24T12:51:06.495706+00:00,2026-08-24T12:55:34.080454+00:00,-2.3094688221708903,-2.083333333333326
2026-08-24,build,PMI,2026-08-24T13:17:00+00:00,2026-08-24T13:17:00.592729+00:00,4.38,4.109589041095885,-1.82648401826484,+4 to +5,True,6.5709246666666665,True,7.450543216666667,True,9.155736216666666,True,11.049816633333334,2026-08-24T13:28:03.581727+00:00,2026-08-24T13:30:36.697133+00:00,-5.701754385964907,-1.82648401826484
2026-08-24,build,PMI,2026-08-24T17:42:00+00:00,2026-08-24T17:42:00.137546+00:00,4.63,-0.21598272138227959,-3.455723542116629,below +1,False,,False,,False,,False,,2026-08-24T17:42:00.137546+00:00,2026-08-24T17:56:09.070254+00:00,-3.2467532467532534,-3.455723542116629
2026-08-24,build,PMI,2026-08-24T18:17:00+00:00,2026-08-24T18:17:00.122862+00:00,4.51,0.22172949002217113,-1.1086474501108556,below +1,False,,False,,False,,False,,2026-08-24T18:24:23.060217+00:00,2026-08-24T18:33:33.607628+00:00,-1.327433628318575,-1.1086474501108556
2026-08-24,build,PMI,2026-08-24T18:43:00+00:00,2026-08-24T18:43:00.203558+00:00,4.62,-0.43290043290044045,-4.329004329004338,below +1,False,,False,,False,,False,,2026-08-24T18:43:44.415338+00:00,2026-08-24T18:58:19.433547+00:00,-3.913043478260869,-4.329004329004338
2026-08-24,build,XPON,2026-08-24T13:34:00+00:00,2026-08-24T13:34:00.057978+00:00,8.75,1.2571428571428456,-42.85714285714286,+1 to +2,True,19.136522816666666,False,,False,,False,,2026-08-24T13:53:08.249347+00:00,2026-08-24T14:06:27.926355+00:00,-43.56659142212189,-42.85714285714286
2026-08-24,build,XPON,2026-08-24T17:32:00+00:00,2026-08-24T17:32:00.617511+00:00,7.22,3.878116343490312,-7.0637119113573394,+3 to +4,True,1.3139049999999999,True,1.6353017166666668,True,1.9199686666666667,False,,2026-08-24T18:06:35.452403+00:00,2026-08-24T18:18:45.483929+00:00,-10.533333333333339,-7.0637119113573394
