build_rank_at_checkpoint,checkpoint_minutes,conditions,condition_count,build_winner_total,build_loser_total,build_winner_assessed,build_loser_assessed,build_winner_removed,build_loser_removed,build_winner_kept,build_loser_kept,build_winner_keep_rate,build_loser_remove_rate,build_unassessed,holdout_winner_total,holdout_loser_total,holdout_winner_assessed,holdout_loser_assessed,holdout_winner_removed,holdout_loser_removed,holdout_winner_kept,holdout_loser_kept,holdout_winner_keep_rate,holdout_loser_remove_rate,holdout_unassessed,pooled_winner_kept,pooled_loser_removed,pooled_meets_30_25,build_separation_margin,holdout_separation_margin,holdout_result
1,0,price_vs_entry_pct >= -3 AND volume_ratio_20 <= +2,2,28,39,28,39,6,21,22,18,0.7857142857142857,0.5384615384615384,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0,30,24,False,0.324176,-0.241071,reversed/failed
2,0,price_vs_entry_pct <= +0 AND volume_ratio_20 <= +2,2,28,39,28,39,7,22,21,17,0.75,0.5641025641025641,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0,29,25,False,0.314103,-0.241071,reversed/failed
3,0,price_vs_entry_pct >= -1 AND volume_ratio_20 <= +2,2,28,39,28,39,6,20,22,19,0.7857142857142857,0.5128205128205128,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0,30,23,False,0.298535,-0.241071,reversed/failed
4,0,price_vs_entry_pct >= -3 AND volume_ratio_20 <= +2 AND rsi >= +50,3,28,39,28,39,6,20,22,19,0.7857142857142857,0.5128205128205128,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0,30,23,False,0.298535,-0.241071,reversed/failed
5,0,price_vs_entry_pct >= -3 AND volume_ratio_20 <= +2 AND last_bar_direction is up,3,28,39,28,39,6,20,22,19,0.7857142857142857,0.5128205128205128,0,14,16,14,16,6,3,8,13,0.5714285714285714,0.1875,0,30,23,False,0.298535,-0.241071,reversed/failed
1,3,volume_ratio_20 >= +1 AND macd_histogram_direction is falling,2,28,39,26,36,4,18,24,21,0.8571428571428571,0.46153846153846156,5,14,16,14,16,5,10,9,6,0.6428571428571429,0.625,0,33,28,True,0.318681,0.267857,survived
2,3,price_vs_entry_pct <= +2 AND max_down_so_far_pct >= -5 AND volume_ratio_20 >= +1,3,28,39,26,36,7,22,21,17,0.75,0.5641025641025641,5,14,16,14,16,8,9,6,7,0.42857142857142855,0.5625,0,27,31,False,0.314103,-0.008929,reversed/failed
3,3,max_up_so_far_pct <= +4 AND max_down_so_far_pct >= -5 AND volume_ratio_20 >= +1,3,28,39,26,36,7,22,21,17,0.75,0.5641025641025641,5,14,16,14,16,7,9,7,7,0.5,0.5625,0,28,31,False,0.314103,0.0625,survived
4,3,price_vs_entry_pct <= +2 AND max_up_so_far_pct <= +4 AND volume_ratio_20 >= +1,3,28,39,26,36,8,23,20,16,0.7142857142857143,0.5897435897435898,5,14,16,14,16,7,10,7,6,0.5,0.625,0,27,33,False,0.304029,0.125,survived
5,3,price_vs_entry_pct <= +0 AND max_up_so_far_pct <= +1 AND volume_ratio_20 >= +0.5,3,28,39,26,36,6,20,22,19,0.7857142857142857,0.5128205128205128,5,14,16,14,16,8,6,6,10,0.42857142857142855,0.375,0,28,26,False,0.298535,-0.196429,reversed/failed
1,5,max_up_so_far_pct <= +4 AND dot_consensus <= +2,2,28,39,26,36,8,28,20,11,0.7142857142857143,0.717948717948718,5,14,16,14,14,7,11,7,5,0.5,0.6875,2,27,39,False,0.432234,0.1875,survived
2,5,price_vs_entry_pct <= +0 AND max_up_so_far_pct <= +4 AND dot_consensus <= +2,3,28,39,26,36,8,27,20,12,0.7142857142857143,0.6923076923076923,5,14,16,14,14,7,11,7,5,0.5,0.6875,2,27,38,False,0.406593,0.1875,survived
3,5,max_up_so_far_pct <= +4 AND dot_consensus <= +2 AND price_vs_vwap_pct <= +2,3,28,39,26,36,7,25,21,14,0.75,0.6410256410256411,5,14,16,14,14,7,9,7,7,0.5,0.5625,2,28,34,False,0.391026,0.0625,survived
4,5,max_up_so_far_pct <= +4 AND dot_consensus <= +2 AND atr_direction is long,3,28,39,26,36,8,26,20,13,0.7142857142857143,0.6666666666666666,5,14,16,14,14,7,10,7,6,0.5,0.625,2,27,36,False,0.380952,0.125,survived
5,5,max_up_so_far_pct <= +4 AND volume_ratio_20 <= +1.5 AND dot_consensus <= +2,3,28,39,26,36,7,24,21,15,0.75,0.6153846153846154,5,14,16,14,14,7,10,7,6,0.5,0.625,2,28,34,False,0.365385,0.125,survived
1,10,price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4 AND volume_ratio_20 <= +2,3,28,39,25,35,2,22,26,17,0.9285714285714286,0.5641025641025641,7,14,16,14,14,4,9,10,7,0.7142857142857143,0.5625,2,36,31,True,0.492674,0.276786,survived
2,10,price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4,2,28,39,26,35,3,23,25,16,0.8928571428571429,0.5897435897435898,6,14,16,14,14,4,10,10,6,0.7142857142857143,0.625,2,35,33,True,0.482601,0.339286,survived
3,10,price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4 AND rsi >= +30,3,28,39,25,35,3,23,25,16,0.8928571428571429,0.5897435897435898,7,14,16,14,14,4,10,10,6,0.7142857142857143,0.625,2,35,33,True,0.482601,0.339286,survived
4,10,max_up_so_far_pct <= +4 AND volume_ratio_20 <= +2 AND stochastic <= +50,3,28,39,25,35,4,24,24,15,0.8571428571428571,0.6153846153846154,7,14,16,14,14,4,7,10,9,0.7142857142857143,0.4375,2,34,31,True,0.472527,0.151786,survived
5,10,price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +3 AND volume_ratio_20 <= +2,3,28,39,25,35,2,21,26,18,0.9285714285714286,0.5384615384615384,7,14,16,14,14,4,9,10,7,0.7142857142857143,0.5625,2,36,30,True,0.467033,0.276786,survived
