target_pct,split,trades,targets_reached,hard_stops,total_return_pct,mean_return_pct,trades_that_ran_past_target,total_available_upside_capped_pct,median_available_upside_capped_pct,max_available_upside_capped_pct
2.0,build,67,43,9,-32.3917,-0.4835,44,379.7742,4.9379,66.0982
2.0,holdout,30,20,3,-11.7533,-0.3918,20,192.8564,5.9955,27.5666
2.0,all,97,63,12,-44.145,-0.4551,64,572.6306,5.0077,66.0982
2.0,2026-08-24,25,12,3,-36.6597,-1.4664,12,163.46,8.1934,66.0982
2.0,2026-08-25,12,8,4,-10.7296,-0.8941,9,105.4542,6.1301,41.0412
2.0,2026-08-26,18,15,1,15.2103,0.845,15,74.8746,3.1813,26.5928
2.0,2026-08-27,11,7,1,-2.2127,-0.2012,7,22.8805,2.461,5.9812
2.0,2026-08-28,1,1,0,2.0,2.0,1,13.1049,13.1049,13.1049
2.0,2026-08-31,16,9,3,-20.3718,-1.2732,9,76.9157,4.2762,27.5666
2.0,2026-09-01,14,11,0,8.6185,0.6156,11,115.9407,6.1123,26.1669
3.0,build,67,37,12,-42.0843,-0.6281,38,339.656,4.1547,65.0982
3.0,holdout,30,15,5,-30.0804,-1.0027,15,174.899,6.75,26.5666
3.0,all,97,52,17,-72.1647,-0.744,53,514.555,4.973,65.0982
3.0,2026-08-24,25,11,3,-28.5814,-1.1433,11,152.1559,9.4138,65.0982
3.0,2026-08-25,12,7,5,-13.7296,-1.1441,8,97.0542,6.9394,40.0412
3.0,2026-08-26,18,11,3,-7.5606,-0.42,11,62.4605,3.7616,25.5928
3.0,2026-08-27,11,7,1,4.7873,0.4352,7,15.8805,1.461,4.9812
3.0,2026-08-28,1,1,0,3.0,3.0,1,12.1049,12.1049,12.1049
3.0,2026-08-31,16,5,5,-44.0673,-2.7542,5,69.3267,10.4357,26.5666
3.0,2026-09-01,14,10,0,13.9869,0.9991,10,105.5723,5.9311,25.1669
4.0,build,67,32,14,-52.4748,-0.7832,33,304.2761,3.973,64.0982
4.0,holdout,30,14,5,-19.5363,-0.6512,14,159.9476,7.5929,25.5666
4.0,all,97,46,19,-72.0111,-0.7424,47,464.2237,4.1301,64.0982
4.0,2026-08-24,25,10,3,-25.4595,-1.0184,10,141.2778,8.5103,64.0982
4.0,2026-08-25,12,7,5,-6.7296,-0.5608,8,89.0542,5.9394,39.0412
4.0,2026-08-26,18,9,4,-16.7034,-0.928,9,52.866,2.9555,24.5928
4.0,2026-08-27,11,5,2,-7.5823,-0.6893,5,9.9732,1.2632,3.9812
4.0,2026-08-28,1,1,0,4.0,4.0,1,11.1049,11.1049,11.1049
4.0,2026-08-31,16,5,5,-39.0673,-2.4417,5,64.3267,9.4357,25.5666
4.0,2026-09-01,14,9,0,19.531,1.3951,9,95.6209,5.75,24.1669
