session_day_et,split,symbol,buy_signal_ts,entry_ts,reached_5,what_went_right_or_wrong,what_would_have_flagged_it_early
2026-08-24,build,PMI,2026-08-24T11:34:00+00:00,2026-08-24T11:34:00.855962+00:00,False,"Did not reach +5%; 0m price -0.23%, range -0.23% to -0.23%, vol +1.33x, hist rising, dot 3, ATR long, VWAP below; 3m price -0.23%, range -0.23% to -0.23%, vol +0.57x, hist falling, dot 3, ATR long, VWAP below; 5m price -0.23%, range -0.23% to -0.23%, vol +0.83x, hist falling, dot 1, ATR long, VWAP below; 10m price -0.46%, range -0.46% to +0.23%, vol +0.91x, hist falling, dot 0, ATR long, VWAP below",nothing visible
2026-08-24,build,PMI,2026-08-24T12:02:00+00:00,2026-08-24T12:02:02.082785+00:00,False,"Did not reach +5%; 0m price -0.46%, range -0.46% to -0.46%, vol +4.05x, hist rising, dot 3, ATR long, VWAP below; 3m price -0.69%, range -0.69% to -0.46%, vol +0.61x, hist rising, dot 3, ATR long, VWAP below; 5m price -1.84%, range -1.84% to -0.46%, vol +0.69x, hist falling, dot 0, ATR long, VWAP below; 10m price +1.15%, range -1.84% to +1.15%, vol +2.52x, hist rising, dot 3, ATR long, VWAP above",nothing visible
2026-08-24,build,PMI,2026-08-24T12:50:00+00:00,2026-08-24T12:50:03.990114+00:00,False,"Did not reach +5%; 0m price -0.23%, range -0.23% to -0.23%, vol +0.92x, hist rising, dot 3, ATR long, VWAP below; 3m price +0.00%, range -0.23% to +0.23%, vol +0.31x, hist rising, dot 3, ATR long, VWAP below; 5m price -0.69%, range -0.69% to +0.23%, vol +0.74x, hist falling, dot 0, ATR long, VWAP below; 10m price -0.93%, range -2.08% to +0.23%, vol +0.37x, hist falling, dot 3, ATR short, VWAP below",nothing visible
2026-08-24,build,PMI,2026-08-24T13:17:00+00:00,2026-08-24T13:17:00.592729+00:00,False,"Did not reach +5%; 0m price -0.46%, range -0.46% to -0.46%, vol +1.36x, hist rising, dot 3, ATR long, VWAP above; 3m price -0.68%, range -0.68% to +0.00%, vol +1.29x, hist falling, dot 3, ATR long, VWAP above; 5m price +0.00%, range -0.68% to +0.00%, vol +0.37x, hist rising, dot 3, ATR long, VWAP above; 10m price +2.05%, range -0.68% to +3.20%, vol +2.89x, hist falling, dot 3, ATR long, VWAP above",3m: volume_ratio_20 >= +1 AND macd_histogram_direction is falling
2026-08-24,build,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,False,"Did not reach +5%; 0m price -0.59%, range -0.59% to -0.59%, vol +0.78x, hist rising, dot 3, ATR long, VWAP below; 3m price -3.55%, range -4.14% to -0.59%, vol +0.83x, hist falling, dot 0, ATR long, VWAP below; 5m price -6.51%, range -8.88% to -0.59%, vol +4.02x, hist falling, dot 1, ATR long, VWAP below; 10m price -7.69%, range -9.47% to +1.18%, vol +2.30x, hist falling, dot 2, ATR short, VWAP below",10m: price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4
2026-08-24,build,XPON,2026-08-24T13:34:00+00:00,2026-08-24T13:34:00.057978+00:00,False,"Did not reach +5%; 0m price -0.23%, range -0.23% to -0.23%, vol +2.85x, hist rising, dot 3, ATR long, VWAP above; 3m price -8.00%, range -12.00% to +0.34%, vol +0.99x, hist falling, dot 0, ATR long, VWAP above; 5m price -9.37%, range -12.80% to +0.34%, vol +1.04x, hist falling, dot 2, ATR long, VWAP above; 10m price -12.11%, range -19.66% to +0.34%, vol +0.75x, hist rising, dot 3, ATR long, VWAP below",10m: price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4
2026-08-24,build,BTCT,2026-08-24T13:55:00+00:00,2026-08-24T13:55:00.494736+00:00,True,"Reached +5%; 0m price -0.61%, range -0.61% to -0.61%, vol +0.88x, hist rising, dot 3, ATR long, VWAP below; 3m price -1.84%, range -2.45% to +1.84%, vol +0.88x, hist falling, dot 2, ATR long, VWAP below; 5m price -1.84%, range -2.45% to +1.84%, vol +0.51x, hist falling, dot 2, ATR long, VWAP below; 10m price +18.40%, range -2.45% to +19.63%, vol +5.08x, hist rising, dot 3, ATR long, VWAP above",no selected early failure combination present
2026-08-24,build,XPON,2026-08-24T14:56:00+00:00,2026-08-24T14:56:00.226711+00:00,True,"Reached +5%; 0m price -0.42%, range -0.42% to -0.42%, vol +2.01x, hist rising, dot 3, ATR long, VWAP below; 3m price -3.06%, range -3.76% to +1.39%, vol +1.01x, hist falling, dot 0, ATR long, VWAP below; 5m price +0.14%, range -4.32% to +1.39%, vol +1.37x, hist rising, dot 3, ATR long, VWAP below; 10m price -0.97%, range -5.15% to +2.51%, vol +1.92x, hist falling, dot 0, ATR long, VWAP below",3m: volume_ratio_20 >= +1 AND macd_histogram_direction is falling
2026-08-24,build,BTCT,2026-08-24T15:28:00+00:00,2026-08-24T15:28:00.598358+00:00,False,"Did not reach +5%; 0m price -0.42%, range -0.42% to -0.42%, vol +1.18x, hist rising, dot 3, ATR long, VWAP above; 3m price -3.78%, range -5.04% to -0.42%, vol +0.69x, hist falling, dot 0, ATR long, VWAP above; 5m price -3.78%, range -5.04% to -0.42%, vol +0.57x, hist falling, dot 1, ATR long, VWAP above; 10m price -12.61%, range -22.27% to -0.42%, vol +1.04x, hist rising, dot 3, ATR short, VWAP above",10m: price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4
2026-08-24,build,DAIC,2026-08-24T15:55:00+00:00,2026-08-24T15:55:00.214528+00:00,True,"Reached +5%; 0m price -1.75%, range -1.75% to -1.75%, vol +2.09x, hist rising, dot 3, ATR long, VWAP above; 3m price +17.54%, range -3.51% to +18.42%, vol NA, hist NA, dot NA, ATR NA, VWAP NA; 5m price +14.91%, range -3.51% to +18.42%, vol NA, hist NA, dot NA, ATR NA, VWAP NA; 10m price +10.96%, range -3.51% to +18.42%, vol NA, hist NA, dot NA, ATR NA, VWAP NA",no selected early failure combination present
