session_day_et,symbol,buy_signal_ts,entry_ts,reached_5,missing_bar_closes
2026-08-24,DAIC,2026-08-24T15:55:00+00:00,2026-08-24T15:55:00.214528+00:00,True,"(datetime.datetime(2026, 8, 24, 15, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 15, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 15, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 16, 0, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 16, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 16, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 16, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 16, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 16, 5, tzinfo=datetime.timezone.utc))"
2026-08-24,DAIC,2026-08-24T16:57:00+00:00,2026-08-24T16:57:00.261108+00:00,True,"(datetime.datetime(2026, 8, 24, 16, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 17, 0, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 17, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 17, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 17, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 17, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 17, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 17, 7, tzinfo=datetime.timezone.utc))"
2026-08-24,LUCY,2026-08-24T19:56:00+00:00,2026-08-24T19:56:00.913644+00:00,False,"(datetime.datetime(2026, 8, 24, 20, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 20, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 20, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 20, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 20, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 24, 20, 6, tzinfo=datetime.timezone.utc))"
2026-08-24,PMI,2026-08-24T18:17:00+00:00,2026-08-24T18:17:00.122862+00:00,False,"(datetime.datetime(2026, 8, 24, 18, 20, tzinfo=datetime.timezone.utc),)"
2026-08-25,WVVIP,2026-08-25T19:42:00+00:00,2026-08-25T19:42:03.110480+00:00,False,"(datetime.datetime(2026, 8, 25, 19, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 25, 19, 44, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 25, 19, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 25, 19, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 25, 19, 47, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 25, 19, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 25, 19, 49, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 25, 19, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 25, 19, 51, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 25, 19, 52, tzinfo=datetime.timezone.utc))"
2026-08-26,CDTG,2026-08-26T19:28:00+00:00,2026-08-26T19:28:02.563357+00:00,False,"(datetime.datetime(2026, 8, 26, 19, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 26, 19, 31, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 26, 19, 32, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 26, 19, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 26, 19, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 26, 19, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 26, 19, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 26, 19, 37, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 26, 19, 38, tzinfo=datetime.timezone.utc))"
2026-08-26,DAIC,2026-08-26T17:59:00+00:00,2026-08-26T17:59:00.708416+00:00,False,"(datetime.datetime(2026, 8, 26, 18, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 26, 18, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 26, 18, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 26, 18, 9, tzinfo=datetime.timezone.utc))"
2026-08-26,XPON,2026-08-26T19:52:00+00:00,2026-08-26T19:52:00.328400+00:00,True,"(datetime.datetime(2026, 8, 26, 20, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 26, 20, 2, tzinfo=datetime.timezone.utc))"
2026-08-31,AEHL,2026-08-31T19:57:00+00:00,2026-08-31T19:57:00.065697+00:00,False,"(datetime.datetime(2026, 8, 31, 20, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 31, 20, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 31, 20, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 31, 20, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 31, 20, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 31, 20, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 31, 20, 7, tzinfo=datetime.timezone.utc))"
2026-08-31,NCRA,2026-08-31T19:57:00+00:00,2026-08-31T19:57:03.370460+00:00,False,"(datetime.datetime(2026, 8, 31, 20, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 31, 20, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 31, 20, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 31, 20, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 31, 20, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 31, 20, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2026, 8, 31, 20, 7, tzinfo=datetime.timezone.utc))"
2026-09-01,RDAC,2026-09-01T19:06:00+00:00,2026-09-01T19:06:00.703983+00:00,False,"(datetime.datetime(2026, 9, 1, 19, 13, tzinfo=datetime.timezone.utc),)"
