session_day_et,symbol,buy_signal_ts,entry_ts,entry_px,reached_5,checkpoint_minutes,checkpoint_ts,quote_ts,current_return_pct,max_up_so_far_pct,max_down_so_far_pct,touched_plus_2,touched_minus_3,last_bar_ts,last_bar_direction,latest_minute_new_low,every_minute_new_low,new_low_streak_minutes
2026-08-24,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,1.69,False,3,2026-08-24T13:30:00.003525+00:00,2026-08-24T13:29:59.800197+00:00,-3.550295857988175,-0.5917159763313578,-4.1420118343195185,False,True,2026-08-24T13:30:00+00:00,down,True,True,2
2026-08-24,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,1.69,False,5,2026-08-24T13:32:00.003525+00:00,2026-08-24T13:31:59.612381+00:00,-6.508875739644964,-0.5917159763313578,-8.875739644970409,False,True,2026-08-24T13:32:00+00:00,down,True,True,4
2026-08-24,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,1.69,False,10,2026-08-24T13:37:00.003525+00:00,2026-08-24T13:36:59.806320+00:00,-7.692307692307693,1.1834319526627297,-9.467455621301767,False,True,2026-08-24T13:37:00+00:00,down,True,False,1
2026-08-24,BTCT,2026-08-24T13:55:00+00:00,2026-08-24T13:55:00.494736+00:00,1.63,True,3,2026-08-24T13:58:00.494736+00:00,2026-08-24T13:57:59.788785+00:00,-1.8404907975459963,1.8404907975460247,-2.4539877300613284,False,False,2026-08-24T13:58:00+00:00,down,False,False,0
2026-08-24,BTCT,2026-08-24T13:55:00+00:00,2026-08-24T13:55:00.494736+00:00,1.63,True,5,2026-08-24T14:00:00.494736+00:00,2026-08-24T14:00:00.112686+00:00,-1.8404907975459963,1.8404907975460247,-2.4539877300613284,False,False,2026-08-24T14:00:00+00:00,down,False,False,0
2026-08-24,BTCT,2026-08-24T13:55:00+00:00,2026-08-24T13:55:00.494736+00:00,1.63,True,10,2026-08-24T14:05:00.494736+00:00,2026-08-24T14:05:00.432051+00:00,18.404907975460134,19.631901840490798,-2.4539877300613284,True,False,2026-08-24T14:05:00+00:00,up,False,False,0
2026-08-24,BTCT,2026-08-24T15:28:00+00:00,2026-08-24T15:28:00.598358+00:00,2.38,False,3,2026-08-24T15:31:00.598358+00:00,2026-08-24T15:30:59.146645+00:00,-3.7815126050420105,-0.42016806722688216,-5.0420168067227,False,True,2026-08-24T15:31:00+00:00,down,False,False,0
2026-08-24,BTCT,2026-08-24T15:28:00+00:00,2026-08-24T15:28:00.598358+00:00,2.38,False,5,2026-08-24T15:33:00.598358+00:00,2026-08-24T15:32:56.775506+00:00,-3.7815126050420105,-0.42016806722688216,-5.0420168067227,False,True,2026-08-24T15:33:00+00:00,up,False,False,0
2026-08-24,BTCT,2026-08-24T15:28:00+00:00,2026-08-24T15:28:00.598358+00:00,2.38,False,10,2026-08-24T15:38:00.598358+00:00,2026-08-24T15:38:00.405187+00:00,-12.605042016806706,-0.42016806722688216,-22.268907563025195,False,True,2026-08-24T15:38:00+00:00,up,False,False,0
2026-08-24,BTCT,2026-08-24T16:06:00+00:00,2026-08-24T16:06:00.301511+00:00,2.31,False,3,2026-08-24T16:09:00.301511+00:00,2026-08-24T16:09:00.173911+00:00,0.4329004329004249,4.761904761904773,-0.4329004329004391,True,False,2026-08-24T16:09:00+00:00,down,False,False,0
2026-08-24,BTCT,2026-08-24T16:06:00+00:00,2026-08-24T16:06:00.301511+00:00,2.31,False,5,2026-08-24T16:11:00.301511+00:00,2026-08-24T16:10:59.414569+00:00,0.4329004329004249,4.761904761904773,-0.4329004329004391,True,False,2026-08-24T16:11:00+00:00,up,False,False,0
2026-08-24,BTCT,2026-08-24T16:06:00+00:00,2026-08-24T16:06:00.301511+00:00,2.31,False,10,2026-08-24T16:16:00.301511+00:00,2026-08-24T16:16:00.276480+00:00,-0.865800865800864,4.761904761904773,-2.597402597402592,True,False,2026-08-24T16:16:00+00:00,up,False,False,0
2026-08-24,BTCT,2026-08-24T17:29:00+00:00,2026-08-24T17:29:00.001103+00:00,2.09,True,3,2026-08-24T17:32:00.001103+00:00,2026-08-24T17:31:58.614774+00:00,0.4784688995215447,1.4354066985646057,-1.4354066985645773,False,False,2026-08-24T17:32:00+00:00,down,False,False,0
2026-08-24,BTCT,2026-08-24T17:29:00+00:00,2026-08-24T17:29:00.001103+00:00,2.09,True,5,2026-08-24T17:34:00.001103+00:00,2026-08-24T17:33:58.619760+00:00,0.0,1.4354066985646057,-1.4354066985645773,False,False,2026-08-24T17:34:00+00:00,down,False,False,0
2026-08-24,BTCT,2026-08-24T17:29:00+00:00,2026-08-24T17:29:00.001103+00:00,2.09,True,10,2026-08-24T17:39:00.001103+00:00,2026-08-24T17:38:59.873777+00:00,0.0,1.4354066985646057,-2.3923444976076524,False,False,2026-08-24T17:39:00+00:00,up,False,False,0
