checkpoint_minutes,measure,cut,threshold_value,winner_denominator,winner_on_cut_side,winner_other_side,loser_denominator,loser_on_cut_side,loser_other_side,separates
3,Price vs entry,<= -18.4019,-18.401937046004832,39,0,39,47,1,46,False
3,Price vs entry,>= -18.4019,-18.401937046004832,39,39,0,47,47,0,False
3,Price vs entry,<= -8,-8.0,39,0,39,47,2,45,False
3,Price vs entry,>= -8,-8.0,39,39,0,47,46,1,False
3,Price vs entry,<= -7.54098,-7.540983606557376,39,0,39,47,3,44,False
3,Price vs entry,>= -7.54098,-7.540983606557376,39,39,0,47,45,2,False
3,Price vs entry,<= -5.3271,-5.327102803738299,39,0,39,47,4,43,False
3,Price vs entry,>= -5.3271,-5.327102803738299,39,39,0,47,44,3,False
3,Price vs entry,<= -5.01433,-5.014326647564488,39,0,39,47,5,42,False
3,Price vs entry,>= -5.01433,-5.014326647564488,39,39,0,47,43,4,False
3,Price vs entry,<= -4.72441,-4.7244094488189035,39,1,38,47,5,42,False
3,Price vs entry,>= -4.72441,-4.7244094488189035,39,39,0,47,42,5,False
3,Price vs entry,<= -4.66926,-4.6692607003890885,39,1,38,47,6,41,False
3,Price vs entry,>= -4.66926,-4.6692607003890885,39,38,1,47,42,5,False
3,Price vs entry,<= -3.78151,-3.7815126050420105,39,1,38,47,7,40,False
3,Price vs entry,>= -3.78151,-3.7815126050420105,39,38,1,47,41,6,False
3,Price vs entry,<= -3.5503,-3.550295857988175,39,1,38,47,8,39,False
3,Price vs entry,>= -3.5503,-3.550295857988175,39,38,1,47,40,7,False
3,Price vs entry,<= -3.53982,-3.539823008849538,39,1,38,47,9,38,False
3,Price vs entry,>= -3.53982,-3.539823008849538,39,38,1,47,39,8,False
3,Price vs entry,<= -3.50877,-3.5087719298245617,39,1,38,47,10,37,False
3,Price vs entry,>= -3.50877,-3.5087719298245617,39,38,1,47,38,9,False
3,Price vs entry,<= -3.25534,-3.2553407934893244,39,2,37,47,10,37,False
3,Price vs entry,>= -3.25534,-3.2553407934893244,39,38,1,47,37,10,False
3,Price vs entry,<= -3.06407,-3.064066852367688,39,3,36,47,10,37,False
3,Price vs entry,>= -3.06407,-3.064066852367688,39,37,2,47,37,10,False
3,Price vs entry,<= -2.80374,-2.803738317757009,39,3,36,47,11,36,False
3,Price vs entry,>= -2.80374,-2.803738317757009,39,36,3,47,37,10,False
3,Price vs entry,<= -2.78638,-2.7863777089783213,39,4,35,47,11,36,False
3,Price vs entry,>= -2.78638,-2.7863777089783213,39,36,3,47,36,11,False
3,Price vs entry,<= -2.7027,-2.702702702702709,39,4,35,47,12,35,False
3,Price vs entry,>= -2.7027,-2.702702702702709,39,35,4,47,36,11,False
3,Price vs entry,<= -2.54777,-2.5477707006369457,39,5,34,47,12,35,False
3,Price vs entry,>= -2.54777,-2.5477707006369457,39,35,4,47,35,12,False
3,Price vs entry,<= -2.1645,-2.1645021645021814,39,5,34,47,13,34,False
3,Price vs entry,>= -2.1645,-2.1645021645021814,39,34,5,47,35,12,False
3,Price vs entry,<= -2.11268,-2.1126760563380316,39,5,34,47,14,33,False
3,Price vs entry,>= -2.11268,-2.1126760563380316,39,34,5,47,34,13,False
3,Price vs entry,<= -2.08768,-2.087682672233811,39,5,34,47,15,32,False
3,Price vs entry,>= -2.08768,-2.087682672233811,39,34,5,47,33,14,False
3,Price vs entry,<= -2.08644,-2.0864381520119224,39,6,33,47,15,32,False
3,Price vs entry,>= -2.08644,-2.0864381520119224,39,34,5,47,32,15,False
3,Price vs entry,<= -2.05128,-2.051282051282058,39,6,33,47,16,31,False
3,Price vs entry,>= -2.05128,-2.051282051282058,39,33,6,47,32,15,False
3,Price vs entry,<= -2.02312,-2.02312138728324,39,7,32,47,16,31,False
3,Price vs entry,>= -2.02312,-2.02312138728324,39,33,6,47,31,16,False
3,Price vs entry,<= -1.84049,-1.8404907975459963,39,8,31,47,16,31,False
3,Price vs entry,>= -1.84049,-1.8404907975459963,39,32,7,47,31,16,False
3,Price vs entry,<= -1.76322,-1.763224181360215,39,9,30,47,16,31,False
3,Price vs entry,>= -1.76322,-1.763224181360215,39,31,8,47,31,16,False
3,Price vs entry,<= -1.75,-1.75,39,10,29,47,16,31,False
3,Price vs entry,>= -1.75,-1.75,39,30,9,47,31,16,False
3,Price vs entry,<= -1.72414,-1.724137931034491,39,11,28,47,16,31,False
3,Price vs entry,>= -1.72414,-1.724137931034491,39,29,10,47,31,16,False
3,Price vs entry,<= -1.71149,-1.711491442542794,39,11,28,47,17,30,False
3,Price vs entry,>= -1.71149,-1.711491442542794,39,28,11,47,31,16,False
3,Price vs entry,<= -1.67364,-1.6736401673640273,39,12,27,47,17,30,False
3,Price vs entry,>= -1.67364,-1.6736401673640273,39,28,11,47,30,17,False
3,Price vs entry,<= -1.5748,-1.5748031496062964,39,12,27,47,18,29,False
3,Price vs entry,>= -1.5748,-1.5748031496062964,39,27,12,47,30,17,False
3,Price vs entry,<= -1.50754,-1.5075376884422127,39,13,26,47,18,29,False
3,Price vs entry,>= -1.50754,-1.5075376884422127,39,27,12,47,29,18,False
3,Price vs entry,<= -1.47783,-1.4778325123152598,39,13,26,47,19,28,False
3,Price vs entry,>= -1.47783,-1.4778325123152598,39,26,13,47,29,18,False
3,Price vs entry,<= -1.47059,-1.470588235294116,39,13,26,47,20,27,False
3,Price vs entry,>= -1.47059,-1.470588235294116,39,26,13,47,28,19,False
3,Price vs entry,<= -1.41956,-1.4195583596214476,39,14,25,47,20,27,False
3,Price vs entry,>= -1.41956,-1.4195583596214476,39,26,13,47,27,20,False
3,Price vs entry,<= -1.36571,-1.3657056145675313,39,15,24,47,20,27,False
3,Price vs entry,>= -1.36571,-1.3657056145675313,39,25,14,47,27,20,False
3,Price vs entry,<= -1.35135,-1.3513513513513544,39,15,24,47,21,26,False
3,Price vs entry,>= -1.35135,-1.3513513513513544,39,24,15,47,27,20,False
3,Price vs entry,<= -1.28411,-1.2841091492776968,39,16,23,47,21,26,False
3,Price vs entry,>= -1.28411,-1.2841091492776968,39,24,15,47,26,21,False
3,Price vs entry,<= -1.25392,-1.2539184952978104,39,16,23,47,22,25,False
3,Price vs entry,>= -1.25392,-1.2539184952978104,39,23,16,47,26,21,False
3,Price vs entry,<= -1.25,-1.2499999999999858,39,16,23,47,23,24,False
3,Price vs entry,>= -1.25,-1.2499999999999858,39,23,16,47,25,22,False
3,Price vs entry,<= -1.24069,-1.2406947890818998,39,16,23,47,24,23,False
3,Price vs entry,>= -1.24069,-1.2406947890818998,39,23,16,47,24,23,False
3,Price vs entry,<= -1.11888,-1.11888111888112,39,17,22,47,24,23,False
3,Price vs entry,>= -1.11888,-1.11888111888112,39,23,16,47,23,24,False
3,Price vs entry,<= -1.07991,-1.0799136069114468,39,17,22,47,25,22,False
3,Price vs entry,>= -1.07991,-1.0799136069114468,39,22,17,47,23,24,False
3,Price vs entry,<= -1.06952,-1.069518716577548,39,17,22,47,26,21,False
3,Price vs entry,>= -1.06952,-1.069518716577548,39,22,17,47,22,25,False
3,Price vs entry,<= -1.0582,-1.0582010582010497,39,18,21,47,26,21,False
3,Price vs entry,>= -1.0582,-1.0582010582010497,39,22,17,47,21,26,False
3,Price vs entry,<= -1.02564,-1.025641025641022,39,18,21,47,27,20,False
3,Price vs entry,>= -1.02564,-1.025641025641022,39,21,18,47,21,26,False
3,Price vs entry,<= -0.980392,-0.9803921568627487,39,18,21,47,28,19,False
3,Price vs entry,>= -0.980392,-0.9803921568627487,39,21,18,47,20,27,False
3,Price vs entry,<= -0.934579,-0.9345794392523317,39,18,21,47,29,18,False
3,Price vs entry,>= -0.934579,-0.9345794392523317,39,21,18,47,19,28,False
3,Price vs entry,<= -0.909091,-0.9090909090909207,39,18,21,47,31,16,False
3,Price vs entry,>= -0.909091,-0.9090909090909207,39,21,18,47,18,29,False
3,Price vs entry,<= -0.877193,-0.8771929824561369,39,18,21,47,32,15,False
3,Price vs entry,>= -0.877193,-0.8771929824561369,39,21,18,47,16,31,False
3,Price vs entry,<= -0.691244,-0.6912442396313452,39,18,21,47,33,14,False
3,Price vs entry,>= -0.691244,-0.6912442396313452,39,21,18,47,15,32,False
3,Price vs entry,<= -0.684932,-0.684931506849324,39,18,21,47,34,13,False
3,Price vs entry,>= -0.684932,-0.684931506849324,39,21,18,47,14,33,False
3,Price vs entry,<= -0.668896,-0.6688963210702354,39,18,21,47,35,12,False
3,Price vs entry,>= -0.668896,-0.6688963210702354,39,21,18,47,13,34,False
3,Price vs entry,<= -0.658979,-0.6589785831960455,39,19,20,47,35,12,False
3,Price vs entry,>= -0.658979,-0.6589785831960455,39,21,18,47,12,35,False
