trade_number,session_day_et,symbol,policy,entry_slot,entry_mode,order_type,scanner_window_start,scanner_window_end,arm_bar_ts_ms,signal_ts,entry_ts,entry_px,target_px,floor_px,exit_trigger_ts,exit_ts,exit_px,exit_reason,ret_pct,duration_seconds,mfe_pct,mae_pct,first_plus_1_ts,first_plus_2_ts,first_minus_1_ts,first_minus_2_ts,quotes_observed,scanner_window_start_et,scanner_window_end_et,signal_ts_et,entry_ts_et,exit_trigger_ts_et,exit_ts_et,first_bid_ret_pct,future_mfe_pct,future_mae_pct,future_reached_plus_1,future_reached_plus_2,future_reached_plus_5,mae_before_plus_1_pct,mae_before_plus_2_pct,mae_before_plus_5_pct,seconds_to_plus_1,seconds_to_plus_2,seconds_to_plus_5,log_entry_price,spread_pct,minutes_since_0700,scanner_age_min,confirm_rank_score,log_confirm_day_volume,log_float_used,confirm_change_pct,vwap_dist_pct,macd_pct,histogram_pct,macd_delta_pct,macd_increasing,macd_above_signal,poly_volume_ratio_20,poly_volume_5_vs_prev_5,schwab_volume_ratio_5,is_reclaim,is_reactive,entry_sequence
1,2026-09-01,BIAF,target+1_floor-2,first,resting,limit,2026-09-01T12:07:07+00:00,,0,2026-09-01T13:00:26.214000+00:00,2026-09-01T13:00:26.214000+00:00,6.7,6.767,6.566,2026-09-01T13:01:40.447864+00:00,2026-09-01T13:01:40.464534+00:00,6.55,floor,-2.238805970149259,74.250534,0.4477611940298544,-2.238805970149259,,,2026-09-01T13:01:28.307592+00:00,2026-09-01T13:01:40.447864+00:00,522,2026-09-01T08:07:07-04:00,,2026-09-01T09:00:26.214000-04:00,2026-09-01T09:00:26.214000-04:00,2026-09-01T09:01:40.447864-04:00,2026-09-01T09:01:40.464534-04:00,-0.1492537313432804,28.358208955223873,-8.50746268656717,True,True,True,-4.1791044776119435,-4.1791044776119435,-4.1791044776119435,378.05145,446.376859,1022.655682,0.8864907251724818,0.1492537313432804,120.4369,53.320233333333334,60.0,6.537219606884955,5.772562262706915,58.333,41.32904182703149,0.7681794266573673,0.46932116491373704,0.07717682914680686,1.0,1.0,1.0264931861204143,4.297598339894412,2.2952578954059693,0.0,0.0,1.0
2,2026-09-01,BIAF,target+1_floor-2,first,resting,limit,2026-09-01T12:07:07+00:00,,0,2026-09-01T13:02:22.382000+00:00,2026-09-01T13:02:22.382000+00:00,6.7,6.767,6.566,2026-09-01T13:03:27.497898+00:00,2026-09-01T13:03:27.499127+00:00,6.56,floor,-2.0895522388059784,65.117127,0.5970149253731348,-2.0895522388059784,,,2026-09-01T13:03:13.080815+00:00,2026-09-01T13:03:27.497898+00:00,436,2026-09-01T08:07:07-04:00,,2026-09-01T09:02:22.382000-04:00,2026-09-01T09:02:22.382000-04:00,2026-09-01T09:03:27.497898-04:00,2026-09-01T09:03:27.499127-04:00,-0.2985074626865741,28.358208955223873,-8.50746268656717,True,True,True,-4.1791044776119435,-4.1791044776119435,-4.1791044776119435,261.88345,330.208859,906.487682,0.8864907251724818,0.2985074626865741,122.37303333333332,55.256366666666665,60.0,6.537219606884955,5.772562262706915,58.333,41.32904182703149,1.239130018971942,0.4064042236011586,-0.019453738314095463,0.0,1.0,1.9392591129843444,1.1407310715014574,1.1310214877580638,0.0,0.0,2.0
3,2026-09-01,BIAF,target+1_floor-2,reclaim,reactive,limit,2026-09-01T12:07:07+00:00,,1788267720000,2026-09-01T13:07:47.323000+00:00,2026-09-01T13:07:47.323000+00:00,6.82,6.8882,6.6836,2026-09-01T13:08:23.012496+00:00,2026-09-01T13:08:23.012496+00:00,6.8882,target,1.0000000000000004,35.689496,1.026392961876824,-1.31964809384164,2026-09-01T13:08:23.012496+00:00,,2026-09-01T13:07:47.843293+00:00,,472,2026-09-01T08:07:07-04:00,,2026-09-01T09:07:47.323000-04:00,2026-09-01T09:07:47.323000-04:00,2026-09-01T09:08:23.012496-04:00,2026-09-01T09:08:23.012496-04:00,-1.31964809384164,26.099706744868023,-10.117302052785929,True,True,True,-1.31964809384164,-3.2258064516129124,-3.2258064516129124,35.689496,578.188491,595.774067,0.893206753059848,0.5865102639296192,127.78871666666667,60.67205,60.0,6.537219606884955,5.772562262706915,58.333,43.86030824781414,1.0584995880965995,0.07437272093800414,0.1100433159464017,1.0,1.0,1.5517829463240116,0.9460026884828863,1.8705165407678328,1.0,1.0,3.0
4,2026-09-01,SSM,target+1_floor-2,reclaim,reactive,limit,2026-09-01T08:35:52+00:00,,1788267060000,2026-09-01T13:25:20.136000+00:00,2026-09-01T13:25:20.136000+00:00,3.84,3.8784,3.7632,2026-09-01T13:26:56.187386+00:00,2026-09-01T13:26:56.187386+00:00,3.8784,target,1.0000000000000056,96.051386,1.0416666666666676,-1.0416666666666676,2026-09-01T13:26:56.187386+00:00,,2026-09-01T13:25:45.419787+00:00,,105,2026-09-01T04:35:52-04:00,,2026-09-01T09:25:20.136000-04:00,2026-09-01T09:25:20.136000-04:00,2026-09-01T09:26:56.187386-04:00,2026-09-01T09:26:56.187386-04:00,-0.26041666666666113,29.166666666666668,-4.427083333333331,True,True,True,-1.0416666666666676,-4.427083333333331,-4.427083333333331,96.051386,743.68471,818.101965,0.6848453616444125,0.26041666666666113,145.3356,289.4689333333333,60.0,6.1216494512643065,6.153764574703484,58.209,43.91231163946977,0.09520320029417291,-0.06894941873929039,-0.042062087101896475,0.0,0.0,1.4852119563384556,2.391663747810858,1.7009350088446784,1.0,1.0,1.0
5,2026-09-01,SSM,target+1_floor-2,first,resting,STOP_LIMIT,2026-09-01T08:35:52+00:00,,0,2026-09-01T13:34:00+00:00,2026-09-01T13:38:12.723000+00:00,3.96,3.9996,3.8808,2026-09-01T13:38:53.112482+00:00,2026-09-01T13:38:53.112482+00:00,3.9996,target,1.000000000000002,40.389482,1.010101010101011,-1.5151515151515165,2026-09-01T13:38:53.112482+00:00,,2026-09-01T13:38:12.938227+00:00,,231,2026-09-01T04:35:52-04:00,,2026-09-01T09:34:00-04:00,2026-09-01T09:38:12.723000-04:00,2026-09-01T09:38:53.112482-04:00,2026-09-01T09:38:53.112482-04:00,-1.262626262626258,25.252525252525253,-7.0707070707070665,True,True,True,-1.5151515151515165,-1.5151515151515165,-1.5151515151515165,40.389482,45.514965,61.002447,0.6954816764901974,1.262626262626258,158.21205,302.34538333333336,60.0,6.1216494512643065,6.153764574703484,58.209,4.1165405799843136,0.3392367778627947,0.5748378437732639,0.4797809492538718,1.0,1.0,7.5036467438291,2.2993098946190433,3.2801564854765792,0.0,0.0,2.0
6,2026-09-01,SSM,target+1_floor-2,reclaim,reactive,market,2026-09-01T08:35:52+00:00,,1788269820000,2026-09-01T13:48:02.717000+00:00,2026-09-01T13:48:02.717000+00:00,4.36,4.4036,4.2728,2026-09-01T13:48:04.358691+00:00,2026-09-01T13:48:04.359057+00:00,4.27,floor,-2.0642201834862557,1.642057,0.0,-2.0642201834862557,,,2026-09-01T13:48:04.354355+00:00,2026-09-01T13:48:04.358691+00:00,50,2026-09-01T04:35:52-04:00,,2026-09-01T09:48:02.717000-04:00,2026-09-01T09:48:02.717000-04:00,2026-09-01T09:48:04.358691-04:00,2026-09-01T09:48:04.359057-04:00,-0.22935779816515306,13.761467889908246,-15.596330275229361,True,True,True,-15.596330275229361,-15.596330275229361,-15.596330275229361,19776.560061,19776.789623,19778.123393,0.72916478969277,0.22935779816515306,168.04528333333334,312.1786166666667,60.0,6.1216494512643065,6.153764574703484,58.209,6.9904857608524855,2.1026843243762383,0.14379087007355632,0.21100643452772777,1.0,1.0,1.7023184157605917,1.2979881652926148,2.1371289322108993,1.0,1.0,3.0
7,2026-09-01,SSM,target+1_floor-2,first,resting,STOP_LIMIT,2026-09-01T08:35:52+00:00,,0,2026-09-01T14:38:00+00:00,2026-09-01T14:43:50.601000+00:00,4.06,4.1006,3.9787999999999997,2026-09-01T14:44:26.866746+00:00,2026-09-01T14:44:26.866746+00:00,4.1006,target,1.0000000000000102,36.265746,1.2315270935960767,-0.7389162561576198,2026-09-01T14:44:26.866746+00:00,,,,192,2026-09-01T04:35:52-04:00,,2026-09-01T10:38:00-04:00,2026-09-01T10:43:50.601000-04:00,2026-09-01T10:44:26.866746-04:00,2026-09-01T10:44:26.866746-04:00,-0.24630541871920658,22.167487684729075,-7.881773399014764,True,True,True,-0.7389162561576198,-0.7389162561576198,-7.881773399014764,36.265746,71.159888,16416.864756,0.7041505168397991,0.24630541871920658,223.84335000000002,367.9766833333333,60.0,6.1216494512643065,6.153764574703484,58.209,0.3225026691315393,0.5074831182301375,0.18899293324891242,0.06849788601780628,1.0,1.0,2.7056507330912116,7.120735582014827,2.610709719318897,0.0,0.0,4.0
8,2026-09-01,SSM,target+1_floor-2,reclaim,resting,STOP_LIMIT,2026-09-01T08:35:52+00:00,,1788276360000,2026-09-01T15:29:00+00:00,2026-09-01T15:30:42.528000+00:00,3.96,3.9996,3.8808,2026-09-01T15:30:44.486828+00:00,2026-09-01T15:30:44.487930+00:00,3.89,floor,-1.7676767676767637,1.95993,0.0,-2.020202020202022,,,2026-09-01T15:30:44.467805+00:00,2026-09-01T15:30:44.486828+00:00,3,2026-09-01T04:35:52-04:00,,2026-09-01T11:29:00-04:00,2026-09-01T11:30:42.528000-04:00,2026-09-01T11:30:44.486828-04:00,2026-09-01T11:30:44.487930-04:00,-1.7676767676767637,25.252525252525253,-4.040404040404044,True,True,True,-2.5252525252525277,-2.5252525252525277,-4.040404040404044,772.915954,1379.947577,13299.525751,0.6954816764901974,1.7676767676767637,270.7088,414.8421333333333,60.0,6.1216494512643065,6.153764574703484,58.209,-1.8515308868942197,0.6309432508392819,0.12670793222647858,-0.08725467634333572,0.0,1.0,1.1716522095846813,0.9393562818441655,0.8259593363940347,1.0,0.0,5.0
9,2026-09-01,BIAF,target+1_floor-2,first,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,0,2026-09-01T15:31:00+00:00,2026-09-01T15:31:53.572000+00:00,6.6,6.6659999999999995,6.468,2026-09-01T15:33:19.820746+00:00,2026-09-01T15:33:19.820746+00:00,6.6659999999999995,target,0.9999999999999976,86.248746,1.060606060606065,-1.5151515151515098,2026-09-01T15:33:19.820746+00:00,,2026-09-01T15:31:54.272293+00:00,,233,2026-09-01T08:07:07-04:00,,2026-09-01T11:31:00-04:00,2026-09-01T11:31:53.572000-04:00,2026-09-01T11:33:19.820746-04:00,2026-09-01T11:33:19.820746-04:00,-1.0606060606060514,7.878787878787887,-6.818181818181808,True,True,True,-1.5151515151515098,-1.5151515151515098,-1.5151515151515098,86.248746,88.972201,516.691391,0.8808135922807914,1.0606060606060514,271.8928666666667,204.7762,60.0,6.537219606884955,5.772562262706915,58.333,-9.051754798905172,0.5562692262812354,0.1599020487313799,0.025597616266760128,1.0,1.0,1.8888134396783562,0.9667070289079859,2.244904398308828,0.0,0.0,4.0
10,2026-09-01,BIAF,target+1_floor-2,reclaim,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788276660000,2026-09-01T15:34:00+00:00,2026-09-01T15:34:09.703000+00:00,6.8,6.867999999999999,6.664,2026-09-01T15:34:23.031626+00:00,2026-09-01T15:34:23.032807+00:00,6.65,floor,-2.2058823529411686,13.329807,0.0,-2.2058823529411686,,,2026-09-01T15:34:11.507038+00:00,2026-09-01T15:34:23.031626+00:00,107,2026-09-01T08:07:07-04:00,,2026-09-01T11:34:00-04:00,2026-09-01T11:34:09.703000-04:00,2026-09-01T11:34:23.031626-04:00,2026-09-01T11:34:23.032807-04:00,-0.7352941176470562,4.70588235294118,-9.558823529411757,True,True,False,-3.529411764705886,-3.529411764705886,,332.155332,380.562934,,0.8920946026904804,0.7352941176470562,274.1617166666667,207.04505,60.0,6.537219606884955,5.772562262706915,58.333,-6.170023788652994,1.063971298397036,0.36467767816913965,0.18364136040810844,1.0,1.0,5.609282333736538,3.8289574491371865,1.437843007430295,1.0,0.0,5.0
