session_day_et,symbol,scanner_window_start,scanner_window_end,buy_bar_ts,buy_signal_ts,buy_close,buy_trail,decision_gap_minutes,entry_ts,entry_px,entry_bid,entry_quote_index,sell_signal_ts
2026-09-01,BIAF,2026-09-01T12:07:07+00:00,,2026-09-01T13:02:00+00:00,2026-09-01T13:03:00+00:00,6.6906,6.091118778738225,1.0,2026-09-01T13:03:00.041311+00:00,6.71,6.68,30109,2026-09-01T14:03:00+00:00
2026-09-01,BIAF,2026-09-01T12:07:07+00:00,,2026-09-01T15:31:00+00:00,2026-09-01T15:32:00+00:00,6.5957,6.2328861194792005,1.0,2026-09-01T15:32:00.033934+00:00,6.6,6.56,114296,2026-09-01T15:53:00+00:00
2026-09-01,BIAF,2026-09-01T12:07:07+00:00,,2026-09-01T16:42:00+00:00,2026-09-01T16:43:00+00:00,6.5371,6.186526495616436,1.0,2026-09-01T16:43:00.089111+00:00,6.59,6.53,128760,2026-09-01T17:53:00+00:00
2026-09-01,BIAF,2026-09-01T12:07:07+00:00,,2026-09-01T18:49:00+00:00,2026-09-01T18:50:00+00:00,6.8399,6.4667582239544945,1.0,2026-09-01T18:50:01.023077+00:00,6.84,6.54,140699,2026-09-01T19:55:00+00:00
2026-09-01,FLYE,2026-09-01T15:23:09+00:00,,2026-09-01T15:37:00+00:00,2026-09-01T15:38:00+00:00,1.8888,1.7821123926328126,1.0,2026-09-01T15:38:00.465272+00:00,1.89,1.88,116406,2026-09-01T16:53:00+00:00
2026-09-01,FLYE,2026-09-01T15:23:09+00:00,,2026-09-01T17:48:00+00:00,2026-09-01T17:49:00+00:00,2.055,1.95292994747495,1.0,2026-09-01T17:49:01.716091+00:00,2.06,2.05,140592,2026-09-01T19:18:00+00:00
2026-09-01,RDAC,2026-09-01T17:46:29+00:00,,2026-09-01T17:46:00+00:00,2026-09-01T17:47:00+00:00,6.36,5.952772307891397,1.0,2026-09-01T17:47:00.019615+00:00,6.41,6.36,51938,2026-09-01T18:52:00+00:00
2026-09-01,RDAC,2026-09-01T17:46:29+00:00,,2026-09-01T19:05:00+00:00,2026-09-01T19:06:00+00:00,6.47,6.146651597386911,1.0,2026-09-01T19:06:00.703983+00:00,6.58,6.36,56197,
2026-09-01,SSM,2026-09-01T08:35:52+00:00,,2026-09-01T12:51:00+00:00,2026-09-01T12:52:00+00:00,3.7998,3.656796359967799,1.0,2026-09-01T12:52:00.103711+00:00,3.8,3.79,13515,2026-09-01T13:31:00+00:00
2026-09-01,SSM,2026-09-01T08:35:52+00:00,,2026-09-01T13:37:00+00:00,2026-09-01T13:38:00+00:00,3.99,3.613217904996345,1.0,2026-09-01T13:38:00.013530+00:00,4.0,3.98,16270,2026-09-01T13:55:00+00:00
2026-09-01,SSM,2026-09-01T08:35:52+00:00,,2026-09-01T14:43:00+00:00,2026-09-01T14:44:00+00:00,4.081,3.875892743997346,1.0,2026-09-01T14:44:00.349362+00:00,4.09,4.08,32168,2026-09-01T14:49:00+00:00
2026-09-01,SSM,2026-09-01T08:35:52+00:00,,2026-09-01T15:26:00+00:00,2026-09-01T15:27:00+00:00,3.9281,3.7641109148796823,1.0,2026-09-01T15:27:02.246693+00:00,3.92,3.91,34923,2026-09-01T16:46:00+00:00
2026-09-01,SSM,2026-09-01T08:35:52+00:00,,2026-09-01T17:37:00+00:00,2026-09-01T17:38:00+00:00,4.0299,3.869961473475874,1.0,2026-09-01T17:38:08.983953+00:00,4.03,3.98,39749,2026-09-01T17:55:00+00:00
2026-09-01,SSM,2026-09-01T08:35:52+00:00,,2026-09-01T18:31:00+00:00,2026-09-01T18:32:00+00:00,3.9699,3.8716393245916607,1.0,2026-09-01T18:32:09.909305+00:00,3.97,3.95,40763,
