symbol,scanner_windows,bars,quotes,buy_flips_all,eligible_buy_flips,candidates,status
AEHL,1,0,0,0,0,0,NO_BARS
BIAF,1,470,146287,4,4,4,EVALUATED
FLYE,3,536,161951,4,2,2,EVALUATED
GYGY,1,0,0,0,0,0,NO_BARS
KITT,2,0,0,0,0,0,NO_BARS
LABT,1,0,0,0,0,0,NO_BARS
LIDR,4,245,111905,2,0,0,NO_ELIGIBLE_BUY_FLIP
NCRA,1,0,0,0,0,0,NO_BARS
NWGL,5,73,3385,0,0,0,NO_BUY_FLIP
OLOX,3,36,14165,0,0,0,NO_BUY_FLIP
PETZ,6,145,8093,0,0,0,NO_BUY_FLIP
RDAC,3,339,58152,2,2,2,EVALUATED
SSM,2,539,56320,6,6,6,EVALUATED
UPC,3,0,0,0,0,0,NO_BARS
WETO,2,164,8178,1,0,0,NO_ELIGIBLE_BUY_FLIP
