policy,trades,wins,losses,scratches,win_rate_pct,total_return_pct,mean_return_pct,median_return_pct,profit_factor,hard_stops,earned_floors,trails,targets,atr_sells,session_closes
atr_sell_only,14,3,11,0,21.429,-1.4121,-0.1009,-1.9228,0.9578,0,0,0,0,12,2
full_target+10_stop-10,14,4,10,0,28.571,7.4704,0.5336,-1.9228,1.2297,0,0,0,4,9,1
full_target+10_stop-12,14,4,10,0,28.571,7.4704,0.5336,-1.9228,1.2297,0,0,0,4,9,1
full_target+10_stop-15,14,4,10,0,28.571,7.4704,0.5336,-1.9228,1.2297,0,0,0,4,9,1
full_target+10_stop-8,14,4,10,0,28.571,6.7204,0.48,-1.9228,1.2019,1,0,0,4,8,1
full_target+5_stop-10,14,9,5,0,64.286,28.5311,2.0379,5.0,2.7324,0,0,0,9,4,1
full_target+5_stop-12,14,9,5,0,64.286,28.5311,2.0379,5.0,2.7324,0,0,0,9,4,1
full_target+5_stop-15,14,9,5,0,64.286,28.5311,2.0379,5.0,2.7324,0,0,0,9,4,1
full_target+5_stop-8,14,9,5,0,64.286,28.5311,2.0379,5.0,2.7324,0,0,0,9,4,1
full_target+8_stop-10,14,6,8,0,42.857,26.7766,1.9126,-0.4831,2.2617,0,0,0,6,7,1
full_target+8_stop-12,14,6,8,0,42.857,26.7766,1.9126,-0.4831,2.2617,0,0,0,6,7,1
full_target+8_stop-15,14,6,8,0,42.857,26.7766,1.9126,-0.4831,2.2617,0,0,0,6,7,1
full_target+8_stop-8,14,6,8,0,42.857,26.7766,1.9126,-0.4831,2.2617,0,0,0,6,7,1
hold_stop-10,14,3,11,0,21.429,-1.4121,-0.1009,-1.9228,0.9578,0,0,0,0,12,2
hold_stop-12,14,3,11,0,21.429,-1.4121,-0.1009,-1.9228,0.9578,0,0,0,0,12,2
hold_stop-15,14,3,11,0,21.429,-1.4121,-0.1009,-1.9228,0.9578,0,0,0,0,12,2
hold_stop-8,14,3,11,0,21.429,-2.1621,-0.1544,-1.9228,0.9367,1,0,0,0,11,2
