session_day_et,symbol,scanner_windows,bars,quotes,buy_flips_all,eligible_buy_flips,candidates,status
2026-08-24,AMIX,1,0,0,0,0,0,NO_BARS
2026-08-24,BTCT,2,491,333610,7,7,7,EVALUATED
2026-08-24,CIIT,2,0,0,0,0,0,NO_BARS
2026-08-24,DAIC,1,149,118495,2,2,2,EVALUATED
2026-08-24,DXST,3,6,5719,0,0,0,NO_BUY_FLIP
2026-08-24,JEM,2,0,0,0,0,0,NO_BARS
2026-08-24,LUCY,1,426,82582,3,3,3,EVALUATED
2026-08-24,OLOX,1,0,0,0,0,0,NO_BARS
2026-08-24,PMI,3,530,37785,10,9,9,EVALUATED
2026-08-24,SUGP,1,0,0,0,0,0,NO_BARS
2026-08-24,TJGC,2,85,426,1,0,0,NO_ELIGIBLE_BUY_FLIP
2026-08-24,WLDS,4,0,0,0,0,0,NO_BARS
2026-08-24,XPON,1,422,261370,4,4,4,EVALUATED
2026-08-25,AIXI,1,364,80108,4,4,4,EVALUATED
2026-08-25,AKAN,1,1,0,0,0,0,NO_QUOTES
2026-08-25,AMIX,2,14,10026,0,0,0,NO_BUY_FLIP
2026-08-25,BDRX,5,1,87,0,0,0,NO_BUY_FLIP
2026-08-25,BRNX,2,9,1672,0,0,0,NO_BUY_FLIP
2026-08-25,BTCT,3,196,19835,1,0,0,NO_ELIGIBLE_BUY_FLIP
2026-08-25,DAIC,2,536,345744,3,3,3,EVALUATED
2026-08-25,EXYN,1,11,868,0,0,0,NO_BUY_FLIP
2026-08-25,JEM,2,11,4652,0,0,0,NO_BUY_FLIP
2026-08-25,LHSW,2,7,124,0,0,0,NO_BUY_FLIP
2026-08-25,LUCY,1,0,0,0,0,0,NO_BARS
2026-08-25,OFAL,1,198,66169,2,0,0,NO_ELIGIBLE_BUY_FLIP
2026-08-25,PMI,3,370,80096,2,2,2,EVALUATED
2026-08-25,RCON,1,13,13887,0,0,0,NO_BUY_FLIP
2026-08-25,RPGL,3,0,0,0,0,0,NO_BARS
2026-08-25,SMTK,3,0,0,0,0,0,NO_BARS
2026-08-25,SWVL,1,37,395618,0,0,0,NO_BUY_FLIP
2026-08-25,WVVIP,6,281,17841,3,3,3,EVALUATED
2026-08-25,XPON,2,0,0,0,0,0,NO_BARS
2026-08-25,YYGH,2,0,0,0,0,0,NO_BARS
2026-08-26,AIXI,1,0,0,0,0,0,NO_BARS
2026-08-26,BRNX,1,2,45,0,0,0,NO_BUY_FLIP
