policy,trades,wins,losses,scratches,win_rate_pct,total_return_pct,mean_return_pct,median_return_pct,profit_factor,hard_stops,earned_floors,trails,targets,atr_sells,session_closes
atr_sell_only,97,17,78,2,17.526,-280.5556,-2.8923,-3.0303,0.3307,0,0,0,0,79,18
full_target+10_stop-10,97,25,71,1,25.773,-116.2257,-1.1982,-2.9412,0.6625,10,0,0,21,52,14
full_target+10_stop-12,97,25,71,1,25.773,-129.6271,-1.3364,-2.9412,0.6377,8,0,0,21,54,14
full_target+10_stop-15,97,25,71,1,25.773,-148.1454,-1.5273,-2.9412,0.6063,6,0,0,21,56,14
full_target+10_stop-8,97,25,71,1,25.773,-97.9025,-1.0093,-2.8662,0.6998,21,0,0,21,43,12
full_target+5_stop-10,97,42,55,0,43.299,-72.1955,-0.7443,-1.5982,0.7442,9,0,0,42,36,10
full_target+5_stop-12,97,42,55,0,43.299,-84.0932,-0.8669,-1.5982,0.7141,7,0,0,42,38,10
full_target+5_stop-15,97,42,55,0,43.299,-99.228,-1.023,-1.5982,0.6791,5,0,0,42,40,10
full_target+5_stop-8,97,41,56,0,42.268,-66.7195,-0.6878,-1.5982,0.7545,19,0,0,41,29,8
full_target+8_stop-10,97,28,68,1,28.866,-118.1515,-1.2181,-2.7027,0.6441,10,0,0,25,49,13
full_target+8_stop-12,97,28,68,1,28.866,-131.5529,-1.3562,-2.7027,0.6191,8,0,0,25,51,13
full_target+8_stop-15,97,28,68,1,28.866,-150.0712,-1.5471,-2.7027,0.5876,6,0,0,25,53,13
full_target+8_stop-8,97,28,68,1,28.866,-99.0783,-1.0214,-2.6316,0.6834,20,0,0,25,41,11
hold_stop-10,97,15,80,2,15.464,-274.8289,-2.8333,-3.2258,0.3309,14,0,0,0,66,17
hold_stop-12,97,15,80,2,15.464,-293.9846,-3.0308,-3.2258,0.3161,12,0,0,0,68,17
hold_stop-15,97,15,80,2,15.464,-318.4174,-3.2827,-3.2258,0.2991,10,0,0,0,70,17
hold_stop-8,97,15,80,2,15.464,-253.9226,-2.6178,-3.2258,0.3486,26,0,0,0,56,15
scale0.4@+5_rest@+10_floor+0_stop-10,97,42,55,0,43.299,-81.7866,-0.8432,-1.5982,0.7102,9,21,0,18,36,13
scale0.4@+5_rest@+10_floor+0_stop-12,97,42,55,0,43.299,-93.6843,-0.9658,-1.5982,0.6814,7,21,0,18,38,13
scale0.4@+5_rest@+10_floor+0_stop-15,97,42,55,0,43.299,-108.8191,-1.1218,-1.5982,0.6481,5,21,0,18,40,13
scale0.4@+5_rest@+10_floor+0_stop-8,97,41,56,0,42.268,-73.103,-0.7536,-1.5982,0.731,19,20,0,18,29,11
scale0.4@+5_rest@+10_floor+2_stop-10,97,42,55,0,43.299,-65.0806,-0.6709,-1.5982,0.7694,9,23,0,17,36,12
scale0.4@+5_rest@+10_floor+2_stop-12,97,42,55,0,43.299,-76.9783,-0.7936,-1.5982,0.7383,7,23,0,17,38,12
scale0.4@+5_rest@+10_floor+2_stop-15,97,42,55,0,43.299,-92.1131,-0.9496,-1.5982,0.7021,5,23,0,17,40,12
scale0.4@+5_rest@+10_floor+2_stop-8,97,41,56,0,42.268,-57.3313,-0.591,-1.5982,0.789,19,22,0,17,29,10
scale0.4@+5_rest@+8_floor+0_stop-10,97,42,55,0,43.299,-96.1989,-0.9917,-1.5982,0.6591,9,20,0,20,36,12
scale0.4@+5_rest@+8_floor+0_stop-12,97,42,55,0,43.299,-108.0966,-1.1144,-1.5982,0.6324,7,20,0,20,38,12
scale0.4@+5_rest@+8_floor+0_stop-15,97,42,55,0,43.299,-123.2314,-1.2704,-1.5982,0.6015,5,20,0,20,40,12
scale0.4@+5_rest@+8_floor+0_stop-8,97,41,56,0,42.268,-87.5153,-0.9022,-1.5982,0.6779,19,19,0,20,29,10
scale0.4@+5_rest@+8_floor+2_stop-10,97,42,55,0,43.299,-85.4806,-0.8812,-1.5982,0.6971,9,23,0,17,36,12
scale0.4@+5_rest@+8_floor+2_stop-12,97,42,55,0,43.299,-97.3783,-1.0039,-1.5982,0.6689,7,23,0,17,38,12
scale0.4@+5_rest@+8_floor+2_stop-15,97,42,55,0,43.299,-112.5131,-1.1599,-1.5982,0.6361,5,23,0,17,40,12
scale0.4@+5_rest@+8_floor+2_stop-8,97,41,56,0,42.268,-77.7313,-0.8014,-1.5982,0.7139,19,22,0,17,29,10
scale0.5@+5_rest@+10_floor+0_stop-10,97,42,55,0,43.299,-80.1881,-0.8267,-1.5982,0.7158,9,21,0,18,36,13
scale0.5@+5_rest@+10_floor+0_stop-12,97,42,55,0,43.299,-92.0858,-0.9493,-1.5982,0.6869,7,21,0,18,38,13
scale0.5@+5_rest@+10_floor+0_stop-15,97,42,55,0,43.299,-107.2206,-1.1054,-1.5982,0.6533,5,21,0,18,40,13
scale0.5@+5_rest@+10_floor+0_stop-8,97,41,56,0,42.268,-72.0391,-0.7427,-1.5982,0.7349,19,20,0,18,29,11
scale0.5@+5_rest@+10_floor+2_stop-10,97,42,55,0,43.299,-66.2664,-0.6832,-1.5982,0.7652,9,23,0,17,36,12
scale0.5@+5_rest@+10_floor+2_stop-12,97,42,55,0,43.299,-78.1641,-0.8058,-1.5982,0.7342,7,23,0,17,38,12
scale0.5@+5_rest@+10_floor+2_stop-15,97,42,55,0,43.299,-93.2989,-0.9618,-1.5982,0.6983,5,23,0,17,40,12
scale0.5@+5_rest@+10_floor+2_stop-8,97,41,56,0,42.268,-58.896,-0.6072,-1.5982,0.7832,19,22,0,17,29,10
scale0.5@+5_rest@+8_floor+0_stop-10,97,42,55,0,43.299,-92.1984,-0.9505,-1.5982,0.6733,9,20,0,20,36,12
scale0.5@+5_rest@+8_floor+0_stop-12,97,42,55,0,43.299,-104.096,-1.0732,-1.5982,0.646,7,20,0,20,38,12
scale0.5@+5_rest@+8_floor+0_stop-15,97,42,55,0,43.299,-119.2309,-1.2292,-1.5982,0.6144,5,20,0,20,40,12
scale0.5@+5_rest@+8_floor+0_stop-8,97,41,56,0,42.268,-84.0493,-0.8665,-1.5982,0.6907,19,19,0,20,29,10
scale0.5@+5_rest@+8_floor+2_stop-10,97,42,55,0,43.299,-83.2664,-0.8584,-1.5982,0.7049,9,23,0,17,36,12
scale0.5@+5_rest@+8_floor+2_stop-12,97,42,55,0,43.299,-95.1641,-0.9811,-1.5982,0.6764,7,23,0,17,38,12
scale0.5@+5_rest@+8_floor+2_stop-15,97,42,55,0,43.299,-110.2989,-1.1371,-1.5982,0.6433,5,23,0,17,40,12
scale0.5@+5_rest@+8_floor+2_stop-8,97,41,56,0,42.268,-75.896,-0.7824,-1.5982,0.7207,19,22,0,17,29,10
scale0.5@+5_rest@+8_no_floor_stop-10,97,38,59,0,39.175,-95.1735,-0.9812,-1.6018,0.6686,10,0,0,25,49,13
scale0.5@+5_rest@+8_no_floor_stop-12,97,38,59,0,39.175,-107.8231,-1.1116,-1.6018,0.6404,8,0,0,25,51,13
scale0.5@+5_rest@+8_no_floor_stop-15,97,38,59,0,39.175,-124.6496,-1.285,-1.6018,0.6064,6,0,0,25,53,13
scale0.5@+5_rest@+8_no_floor_stop-8,97,38,59,0,39.175,-82.8989,-0.8546,-1.6018,0.6984,20,0,0,25,41,11
scale0.5@+5_trail2_floor+0_stop-10,97,42,55,0,43.299,-64.5349,-0.6653,-1.5982,0.7713,9,0,42,0,36,10
scale0.5@+5_trail2_floor+0_stop-12,97,42,55,0,43.299,-76.4326,-0.788,-1.5982,0.7401,7,0,42,0,38,10
scale0.5@+5_trail2_floor+0_stop-15,97,42,55,0,43.299,-91.5674,-0.944,-1.5982,0.7039,5,0,42,0,40,10
scale0.5@+5_trail2_floor+0_stop-8,97,41,56,0,42.268,-58.5485,-0.6036,-1.5982,0.7845,19,0,41,0,29,8
