session_day_et,symbol,buy_signal_ts,entry_ts,entry_px,sell_signal_ts,natural_exit_reason,natural_return_pct,max_down_pct,max_up_pct,fixed_5_reached,fixed_8_reached,fixed_10_reached,scale_50_at_5_50_at_8_return_pct,scale_exit_reason,scale_trail_return_pct,scale_trail_exit_reason,decision_gap_minutes
2026-08-31,AEHL,2026-08-31T12:19:00+00:00,2026-08-31T12:19:02.645065+00:00,6.07,2026-08-31T13:42:00+00:00,atr_sell,1.4827,-1.4827,26.6886,True,True,True,6.5,target,12.2199,trail,1.0
2026-08-31,AEHL,2026-08-31T14:32:00+00:00,2026-08-31T14:32:00.134395+00:00,6.38,2026-08-31T15:07:00+00:00,atr_sell,-3.7618,-4.0752,2.1944,False,False,False,-3.7618,atr_sell,-3.7618,atr_sell,1.0
2026-08-31,AEHL,2026-08-31T15:23:00+00:00,2026-08-31T15:23:00.894675+00:00,6.46,2026-08-31T16:46:00+00:00,atr_sell,5.8824,-3.5604,29.5666,True,True,True,6.5,target,4.7446,trail,1.0
2026-08-31,AEHL,2026-08-31T18:15:00+00:00,2026-08-31T18:15:03.000092+00:00,6.34,2026-08-31T19:22:00+00:00,atr_sell,-1.1041,-1.735,8.3596,True,True,False,6.5,target,4.3139,trail,1.0
2026-08-31,AEHL,2026-08-31T19:57:00+00:00,2026-08-31T19:57:00.065697+00:00,6.53,,session_close,-1.072,-1.5314,1.3783,False,False,False,-1.072,session_close,-1.072,session_close,1.0
2026-08-25,AIXI,2026-08-25T16:24:00+00:00,2026-08-25T16:24:00.285366+00:00,1.16,2026-08-25T16:56:00+00:00,atr_sell,0.0,-2.5862,15.5172,True,True,True,6.5,target,3.7931,trail,1.0
2026-08-25,AIXI,2026-08-25T17:36:00+00:00,2026-08-25T17:36:01.808671+00:00,1.25,2026-08-25T17:54:00+00:00,atr_sell,-8.0,-8.0,2.4,False,False,False,-8.0,atr_sell,-8.0,atr_sell,1.0
2026-08-25,AIXI,2026-08-25T18:13:00+00:00,2026-08-25T18:13:01.160804+00:00,1.27,2026-08-25T19:16:00+00:00,atr_sell,-8.6614,-8.6614,1.5748,False,False,False,-8.6614,atr_sell,-8.6614,atr_sell,1.0
2026-08-25,AIXI,2026-08-25T19:45:00+00:00,2026-08-25T19:45:00.371530+00:00,1.27,,session_close,3.1496,-4.7244,7.0866,True,False,False,4.0748,session_close,4.8622,trail,1.0
2026-09-01,BIAF,2026-09-01T13:03:00+00:00,2026-09-01T13:03:00.041311+00:00,6.71,2026-09-01T14:03:00+00:00,atr_sell,-0.8942,-4.3219,28.1669,True,True,True,6.5,target,5.108,trail,1.0
