horizon_bar,condition,split,target_total,comparator_total,target_assessed,comparator_assessed,target_caught,comparator_touched,unavailable
2,no post-fill trade print above entry in bars 2-2,build,19,48,19,46,17,14,2
2,no post-fill trade print above entry in bars 2-2,holdout,5,25,5,25,4,11,0
2,no post-fill trade print above entry in bars 2-2,all,24,73,24,71,21,25,2
3,no post-fill trade print above entry in bars 2-3,build,19,48,17,46,15,12,4
3,no post-fill trade print above entry in bars 2-3,holdout,5,25,5,25,3,10,0
3,no post-fill trade print above entry in bars 2-3,all,24,73,22,71,18,22,4
4,no post-fill trade print above entry in bars 2-4,build,19,48,17,46,15,10,4
4,no post-fill trade print above entry in bars 2-4,holdout,5,25,5,23,3,8,2
4,no post-fill trade print above entry in bars 2-4,all,24,73,22,69,18,18,6
5,no post-fill trade print above entry in bars 2-5,build,19,48,16,46,14,8,5
5,no post-fill trade print above entry in bars 2-5,holdout,5,25,5,23,3,7,2
5,no post-fill trade print above entry in bars 2-5,all,24,73,21,69,17,15,7
