policy,population,trades,targets,floors,trails,closes,wins,losses,scratches,win_rate_pct,total_return_pct,mean_return_pct,median_return_pct,profit_factor,reached_plus_1,reached_plus_2,mean_mfe_pct,mean_mae_pct,median_duration_seconds
trail_activate+1_lock+0_distance1_floor-1,all,119,0,96,23,0,17,96,6,14.286,-96.7586,-0.8131,-1.106,0.2003,23,10,0.5269,-1.1806,9.1
trail_activate+1_lock+0_distance1_floor-1,first,58,0,47,11,0,7,47,4,12.069,-52.4701,-0.9047,-1.1167,0.1008,11,4,0.42,-1.1614,10.9
trail_activate+1_lock+0_distance1_floor-1,reclaim,61,0,49,12,0,10,49,2,16.393,-44.2885,-0.726,-1.0753,0.2931,12,6,0.6285,-1.1988,9.1
trail_activate+1_lock+0_distance1_floor-2,all,118,0,73,45,0,35,75,8,29.661,-117.8369,-0.9986,-2.0315,0.2762,45,21,0.9662,-1.7973,45.8
trail_activate+1_lock+0_distance1_floor-2,first,58,0,37,21,0,16,38,4,27.586,-67.9623,-1.1718,-2.0607,0.1854,21,9,0.781,-1.8332,44.1
trail_activate+1_lock+0_distance1_floor-2,reclaim,60,0,36,24,0,19,37,4,31.667,-49.8746,-0.8312,-1.9326,0.3717,24,12,1.1452,-1.7626,46.5
trail_activate+1_lock+0_distance2_floor-1,all,119,0,96,23,0,9,99,11,7.563,-91.9212,-0.7724,-1.106,0.2461,23,11,0.6861,-1.1806,11.0
trail_activate+1_lock+0_distance2_floor-1,first,58,0,47,11,0,4,48,6,6.897,-52.6123,-0.9071,-1.1167,0.1049,11,5,0.5224,-1.1614,14.2
trail_activate+1_lock+0_distance2_floor-1,reclaim,61,0,49,12,0,5,51,5,8.197,-39.309,-0.6444,-1.0753,0.3775,12,6,0.8418,-1.1988,10.7
trail_activate+1_lock+0_distance2_floor-2,all,118,0,75,43,0,21,81,16,17.797,-116.6805,-0.9888,-2.0465,0.3101,43,23,1.2437,-1.8279,58.6
trail_activate+1_lock+0_distance2_floor-2,first,58,0,37,21,0,9,40,9,15.517,-61.9497,-1.0681,-2.0607,0.2626,21,11,1.1418,-1.8332,65.0
trail_activate+1_lock+0_distance2_floor-2,reclaim,60,0,38,22,0,12,41,7,20.0,-54.7309,-0.9122,-2.0301,0.3571,22,12,1.3423,-1.8227,50.9
trail_activate+2_lock+1_distance1_floor-1,all,119,0,107,12,0,12,107,0,10.084,-108.0994,-0.9084,-1.1161,0.1944,23,12,0.5565,-1.2263,12.9
trail_activate+2_lock+1_distance1_floor-1,first,58,0,52,6,0,6,52,0,10.345,-55.3571,-0.9544,-1.1212,0.135,11,6,0.4808,-1.1996,19.0
trail_activate+2_lock+1_distance1_floor-1,reclaim,61,0,55,6,0,6,55,0,9.836,-52.7423,-0.8646,-1.1111,0.2485,12,6,0.6285,-1.2518,9.1
trail_activate+2_lock+1_distance1_floor-2,all,118,0,86,32,0,32,86,0,27.119,-126.2603,-1.07,-2.0619,0.3355,44,32,1.1407,-1.9558,67.3
trail_activate+2_lock+1_distance1_floor-2,first,58,0,42,16,0,16,42,0,27.586,-66.958,-1.1544,-2.0664,0.2803,21,16,0.9784,-1.965,70.1
trail_activate+2_lock+1_distance1_floor-2,reclaim,60,0,44,16,0,16,44,0,26.667,-59.3023,-0.9884,-2.0525,0.3884,23,16,1.2976,-1.947,59.9
trail_activate+2_lock+1_distance2_floor-1,all,119,0,107,12,0,12,107,0,10.084,-102.7047,-0.8631,-1.1161,0.2346,23,12,0.6575,-1.2263,12.9
trail_activate+2_lock+1_distance2_floor-1,first,58,0,52,6,0,6,52,0,10.345,-57.6854,-0.9946,-1.1212,0.0987,11,6,0.4808,-1.1996,19.0
trail_activate+2_lock+1_distance2_floor-1,reclaim,61,0,55,6,0,6,55,0,9.836,-45.0193,-0.738,-1.1111,0.3585,12,6,0.8254,-1.2518,9.1
trail_activate+2_lock+1_distance2_floor-2,all,118,0,87,31,0,31,87,0,26.271,-127.5536,-1.081,-2.0652,0.3388,43,31,1.3343,-1.9747,72.6
trail_activate+2_lock+1_distance2_floor-2,first,58,0,42,16,0,16,42,0,27.586,-67.18,-1.1583,-2.0664,0.2779,21,16,1.152,-1.965,70.1
trail_activate+2_lock+1_distance2_floor-2,reclaim,60,0,45,15,0,15,45,0,25.0,-60.3736,-1.0062,-2.0606,0.3954,22,15,1.5105,-1.9841,72.6
