session_day_et,symbol,policy,entry_slot,entry_mode,order_type,scanner_window_start,scanner_window_end,segment_id,arm_bar_ts_ms,signal_ts,entry_ts,entry_px,target_px,floor_px,trailing_activation_px,trailing_activation_ts,trailing_high_px,trailing_stop_px,exit_trigger_ts,exit_ts,exit_px,exit_reason,ret_pct,duration_seconds,mfe_pct,mae_pct,first_plus_1_ts,first_plus_2_ts,first_minus_1_ts,first_minus_2_ts,quotes_observed
2026-08-24,BTCT,trail_activate+1_lock+0_distance1_floor-2,first,resting,limit,2026-08-24T11:46:11+00:00,2026-08-24T13:42:34.628000+00:00,1787577900000,0,2026-08-24T13:26:57.301000+00:00,2026-08-24T13:26:57.301000+00:00,1.68,,1.6463999999999999,1.6967999999999999,,,,2026-08-24T13:28:58.445606+00:00,2026-08-24T13:28:58.488549+00:00,1.64,floor,-2.380952380952383,121.187549,0.0,-2.380952380952383,,,2026-08-24T13:28:38.272615+00:00,2026-08-24T13:28:58.445606+00:00,811
2026-08-24,BTCT,trail_activate+1_lock+0_distance1_floor-2,first,resting,STOP_LIMIT,2026-08-24T13:49:29+00:00,,1787579400000,0,2026-08-24T13:51:00+00:00,2026-08-24T13:54:55.941000+00:00,1.63,,1.5974,1.6462999999999999,,,,2026-08-24T13:55:31.294018+00:00,2026-08-24T13:55:31.294331+00:00,1.59,floor,-2.453987730061338,35.353331,0.0,-2.453987730061338,,,2026-08-24T13:55:14.962964+00:00,2026-08-24T13:55:31.294018+00:00,317
2026-08-24,BTCT,trail_activate+1_lock+0_distance1_floor-2,reclaim,resting,STOP_LIMIT,2026-08-24T13:49:29+00:00,,1787579400000,1787579640000,2026-08-24T13:57:00+00:00,2026-08-24T14:02:04.644000+00:00,1.67,,1.6365999999999998,1.6866999999999999,2026-08-24T14:03:14.348536+00:00,1.76,1.7424,2026-08-24T14:03:14.574036+00:00,2026-08-24T14:03:14.574170+00:00,1.74,trail,4.19161676646707,69.93017,5.389221556886232,-0.5988023952095813,2026-08-24T14:03:14.348536+00:00,2026-08-24T14:03:14.374971+00:00,,,1113
2026-08-24,BTCT,trail_activate+1_lock+0_distance1_floor-2,first,resting,STOP_LIMIT,2026-08-24T13:49:29+00:00,,1787584380000,0,2026-08-24T15:14:00+00:00,2026-08-24T15:17:42.456000+00:00,2.37,,2.3226,2.3937,,,,2026-08-24T15:18:11.274890+00:00,2026-08-24T15:18:11.275118+00:00,2.33,floor,-1.6877637130801704,28.819118,0.42194092827003316,-2.109704641350222,,,2026-08-24T15:18:11.247135+00:00,2026-08-24T15:18:11.274890+00:00,599
2026-08-24,BTCT,trail_activate+1_lock+0_distance1_floor-2,first,resting,STOP_LIMIT,2026-08-24T13:49:29+00:00,,1787585760000,0,2026-08-24T15:56:00+00:00,2026-08-24T15:59:00.938000+00:00,2.3,,2.254,2.323,,,,2026-08-24T15:59:32.771748+00:00,2026-08-24T15:59:32.772781+00:00,2.25,floor,-2.173913043478253,31.834781,0.0,-2.173913043478253,,,2026-08-24T15:59:09.629278+00:00,2026-08-24T15:59:32.771748+00:00,325
2026-08-24,BTCT,trail_activate+1_lock+0_distance1_floor-2,reclaim,resting,STOP_LIMIT,2026-08-24T13:49:29+00:00,,1787590980000,1787592480000,2026-08-24T17:31:00+00:00,2026-08-24T17:44:34.414000+00:00,2.13,,2.0873999999999997,2.1513,2026-08-24T17:44:57.253947+00:00,2.2,2.178,2026-08-24T17:45:25.565983+00:00,2026-08-24T17:45:25.566410+00:00,2.17,trail,1.8779342723004713,51.15241,3.286384976525835,-0.9389671361502356,2026-08-24T17:44:57.253947+00:00,2026-08-24T17:45:10.114679+00:00,,,697
2026-08-24,BTCT,trail_activate+1_lock+0_distance1_floor-2,first,resting,STOP_LIMIT,2026-08-24T13:49:29+00:00,,1787594280000,0,2026-08-24T18:10:00+00:00,2026-08-24T18:11:02.196000+00:00,2.06,,2.0188,2.0806,,,,2026-08-24T18:11:44.480627+00:00,2026-08-24T18:11:44.481039+00:00,2.01,floor,-2.42718446601943,42.285039,0.4854368932038731,-2.42718446601943,,,2026-08-24T18:11:23.702105+00:00,2026-08-24T18:11:44.480627+00:00,703
2026-08-24,BTCT,trail_activate+1_lock+0_distance1_floor-2,reclaim,resting,STOP_LIMIT,2026-08-24T13:49:29+00:00,,1787594280000,1787597220000,2026-08-24T18:50:00+00:00,2026-08-24T19:15:33.876000+00:00,1.97,,1.9305999999999999,1.9897,,,,2026-08-24T19:22:21.552980+00:00,2026-08-24T19:22:21.553582+00:00,1.93,floor,-2.0304568527918803,407.677582,0.0,-2.0304568527918803,,,2026-08-24T19:16:25.316883+00:00,2026-08-24T19:22:21.552980+00:00,619
2026-08-24,BTCT,trail_activate+1_lock+0_distance1_floor-2,first,resting,STOP_LIMIT,2026-08-24T13:49:29+00:00,,1787599500000,0,2026-08-24T19:41:00+00:00,2026-08-24T19:43:51.469000+00:00,1.87,,1.8326,1.8887,,,,2026-08-24T19:53:40.917246+00:00,2026-08-24T19:53:40.917552+00:00,1.83,floor,-2.1390374331550817,589.448552,0.0,-2.1390374331550817,,,2026-08-24T19:44:06.881789+00:00,2026-08-24T19:53:40.917246+00:00,1718
2026-08-24,BTCT,trail_activate+1_lock+0_distance2_floor-2,first,resting,limit,2026-08-24T11:46:11+00:00,2026-08-24T13:42:34.628000+00:00,1787577900000,0,2026-08-24T13:26:57.301000+00:00,2026-08-24T13:26:57.301000+00:00,1.68,,1.6463999999999999,1.6967999999999999,,,,2026-08-24T13:28:58.445606+00:00,2026-08-24T13:28:58.488549+00:00,1.64,floor,-2.380952380952383,121.187549,0.0,-2.380952380952383,,,2026-08-24T13:28:38.272615+00:00,2026-08-24T13:28:58.445606+00:00,811
