policy,population,trades,targets,floors,trails,closes,wins,losses,scratches,win_rate_pct,total_return_pct,mean_return_pct,median_return_pct,profit_factor,reached_plus_1,reached_plus_2,mean_mfe_pct,mean_mae_pct,median_duration_seconds
trail_activate+1_lock+1_distance1_floor+0,all,120,0,120,0,0,0,118,2,0.0,-87.7622,-0.7314,-0.6149,0.0,0,0,0.0,-0.7589,0.6
trail_activate+1_lock+1_distance1_floor+0,first,58,0,58,0,0,0,57,1,0.0,-39.0769,-0.6737,-0.6256,0.0,0,0,0.0,-0.6983,0.6
trail_activate+1_lock+1_distance1_floor+0,reclaim,62,0,62,0,0,0,61,1,0.0,-48.6853,-0.7852,-0.5871,0.0,0,0,0.0,-0.8155,0.6
trail_activate+1_lock+1_distance1_floor-1,all,119,0,96,23,0,23,96,0,19.328,-96.4017,-0.8101,-1.106,0.2033,23,4,0.3989,-1.1806,9.1
trail_activate+1_lock+1_distance1_floor-1,first,58,0,47,11,0,11,47,0,18.966,-48.5601,-0.8372,-1.1167,0.1678,11,2,0.3485,-1.1614,10.9
trail_activate+1_lock+1_distance1_floor-1,reclaim,61,0,49,12,0,12,49,0,19.672,-47.8415,-0.7843,-1.0753,0.2363,12,2,0.4468,-1.1988,9.1
trail_activate+1_lock+1_distance2_floor+0,all,120,0,120,0,0,0,118,2,0.0,-87.7622,-0.7314,-0.6149,0.0,0,0,0.0,-0.7589,0.6
trail_activate+1_lock+1_distance2_floor+0,first,58,0,58,0,0,0,57,1,0.0,-39.0769,-0.6737,-0.6256,0.0,0,0,0.0,-0.6983,0.6
trail_activate+1_lock+1_distance2_floor+0,reclaim,62,0,62,0,0,0,61,1,0.0,-48.6853,-0.7852,-0.5871,0.0,0,0,0.0,-0.8155,0.6
trail_activate+1_lock+1_distance2_floor-1,all,119,0,96,23,0,23,96,0,19.328,-98.9515,-0.8315,-1.106,0.1822,23,4,0.3989,-1.1806,9.1
trail_activate+1_lock+1_distance2_floor-1,first,58,0,47,11,0,11,47,0,18.966,-49.0577,-0.8458,-1.1167,0.1592,11,2,0.3485,-1.1614,10.9
trail_activate+1_lock+1_distance2_floor-1,reclaim,61,0,49,12,0,12,49,0,19.672,-49.8938,-0.8179,-1.0753,0.2036,12,2,0.4468,-1.1988,9.1
trail_activate+2_lock+2_distance1_floor+0,all,120,0,120,0,0,0,118,2,0.0,-87.7622,-0.7314,-0.6149,0.0,0,0,0.0,-0.7589,0.6
trail_activate+2_lock+2_distance1_floor+0,first,58,0,58,0,0,0,57,1,0.0,-39.0769,-0.6737,-0.6256,0.0,0,0,0.0,-0.6983,0.6
trail_activate+2_lock+2_distance1_floor+0,reclaim,62,0,62,0,0,0,61,1,0.0,-48.6853,-0.7852,-0.5871,0.0,0,0,0.0,-0.8155,0.6
trail_activate+2_lock+2_distance1_floor-1,all,119,0,107,12,0,12,107,0,10.084,-108.0052,-0.9076,-1.1161,0.1951,23,12,0.4836,-1.2263,12.9
trail_activate+2_lock+2_distance1_floor-1,first,58,0,52,6,0,6,52,0,10.345,-51.4762,-0.8875,-1.1212,0.1957,11,6,0.4723,-1.1996,19.0
trail_activate+2_lock+2_distance1_floor-1,reclaim,61,0,55,6,0,6,55,0,9.836,-56.529,-0.9267,-1.1111,0.1945,12,6,0.4943,-1.2518,9.1
trail_activate+2_lock+2_distance2_floor+0,all,120,0,120,0,0,0,118,2,0.0,-87.7622,-0.7314,-0.6149,0.0,0,0,0.0,-0.7589,0.6
trail_activate+2_lock+2_distance2_floor+0,first,58,0,58,0,0,0,57,1,0.0,-39.0769,-0.6737,-0.6256,0.0,0,0,0.0,-0.6983,0.6
trail_activate+2_lock+2_distance2_floor+0,reclaim,62,0,62,0,0,0,61,1,0.0,-48.6853,-0.7852,-0.5871,0.0,0,0,0.0,-0.8155,0.6
trail_activate+2_lock+2_distance2_floor-1,all,119,0,107,12,0,12,107,0,10.084,-110.3264,-0.9271,-1.1161,0.1778,23,12,0.4836,-1.2263,12.9
trail_activate+2_lock+2_distance2_floor-1,first,58,0,52,6,0,6,52,0,10.345,-52.5998,-0.9069,-1.1212,0.1781,11,6,0.4723,-1.1996,19.0
trail_activate+2_lock+2_distance2_floor-1,reclaim,61,0,55,6,0,6,55,0,9.836,-57.7267,-0.9463,-1.1111,0.1775,12,6,0.4943,-1.2518,9.1
