session_day_et,symbol,buy_signal_ts,entry_ts,entry_px,reached_5,atr_segment_max_up_pct,session_max_up_pct,fixed_5_signal_ts,fixed_5_trigger,fixed_5_exit_ts,fixed_5_exit_px,fixed_5_exit_reason,fixed_5_return_pct,fixed_5_duration_minutes,fixed_5_capture_pct,atr_sell_signal_ts,atr_sell_trigger,atr_sell_exit_ts,atr_sell_exit_px,atr_sell_exit_reason,atr_sell_return_pct,atr_sell_duration_minutes,atr_sell_capture_pct,dot_bearish_signal_ts,dot_bearish_trigger,dot_bearish_exit_ts,dot_bearish_exit_px,dot_bearish_exit_reason,dot_bearish_return_pct,dot_bearish_duration_minutes,dot_bearish_capture_pct,macd_hist_below_zero_signal_ts,macd_hist_below_zero_trigger,macd_hist_below_zero_exit_ts,macd_hist_below_zero_exit_px,macd_hist_below_zero_exit_reason,macd_hist_below_zero_return_pct,macd_hist_below_zero_duration_minutes,macd_hist_below_zero_capture_pct,first_signal_ts,first_trigger,first_exit_ts,first_exit_px,first_exit_reason,first_return_pct,first_duration_minutes,first_capture_pct,second_signal_ts,second_trigger,second_exit_ts,second_exit_px,second_exit_reason,second_return_pct,second_duration_minutes,second_capture_pct
2026-08-24,PMI,2026-08-24T11:34:00+00:00,2026-08-24T11:34:00.855962+00:00,4.37,False,0.2288,20.595,,atr_sell,2026-08-24T11:46:02.625481+00:00,4.3,atr_sell,-1.6018,12.03,-7.78,,atr_sell,2026-08-24T11:46:02.625481+00:00,4.3,atr_sell,-1.6018,12.03,-7.78,2026-08-24T11:39:00+00:00,dot,2026-08-24T11:39:02.006806+00:00,4.36,signal,-0.2288,5.02,-1.11,2026-08-24T11:47:00+00:00,hist,2026-08-24T11:47:05.230825+00:00,4.27,signal,-2.2883,13.07,-11.11,2026-08-24T11:39:00+00:00,dot,2026-08-24T11:39:02.006806+00:00,4.36,signal,-0.2288,5.02,-1.11,2026-08-24T11:47:00+00:00,hist,2026-08-24T11:47:05.230825+00:00,4.27,signal,-2.2883,13.07,-11.11
2026-08-24,PMI,2026-08-24T12:02:00+00:00,2026-08-24T12:02:02.082785+00:00,4.34,False,2.3041,21.4286,,atr_sell,2026-08-24T12:36:00.520171+00:00,4.3,atr_sell,-0.9217,33.97,-4.3,,atr_sell,2026-08-24T12:36:00.520171+00:00,4.3,atr_sell,-0.9217,33.97,-4.3,2026-08-24T12:07:00+00:00,dot,2026-08-24T12:07:00.604988+00:00,4.26,signal,-1.8433,4.98,-8.6,2026-08-24T12:26:00+00:00,hist,2026-08-24T12:26:07.287026+00:00,4.39,signal,1.1521,24.09,5.38,2026-08-24T12:07:00+00:00,dot,2026-08-24T12:07:00.604988+00:00,4.26,signal,-1.8433,4.98,-8.6,2026-08-24T12:26:00+00:00,hist,2026-08-24T12:26:07.287026+00:00,4.39,signal,1.1521,24.09,5.38
2026-08-24,PMI,2026-08-24T12:50:00+00:00,2026-08-24T12:50:03.990114+00:00,4.32,False,0.2315,21.9907,,atr_sell,2026-08-24T12:56:00.201973+00:00,4.24,atr_sell,-1.8519,5.94,-8.42,,atr_sell,2026-08-24T12:56:00.201973+00:00,4.24,atr_sell,-1.8519,5.94,-8.42,2026-08-24T12:55:00+00:00,dot,2026-08-24T12:55:11.669859+00:00,4.29,signal,-0.6944,5.13,-3.16,2026-08-24T12:58:00+00:00,hist,2026-08-24T12:58:02.850963+00:00,4.27,signal,-1.1574,7.98,-5.26,2026-08-24T12:55:00+00:00,dot,2026-08-24T12:55:11.669859+00:00,4.29,signal,-0.6944,5.13,-3.16,2026-08-24T12:58:00+00:00,hist,2026-08-24T12:58:02.850963+00:00,4.27,signal,-1.1574,7.98,-5.26
2026-08-24,PMI,2026-08-24T13:17:00+00:00,2026-08-24T13:17:00.592729+00:00,4.38,False,4.1096,20.3196,,atr_sell,2026-08-24T13:31:00.156425+00:00,4.31,atr_sell,-1.5982,13.99,-7.87,,atr_sell,2026-08-24T13:31:00.156425+00:00,4.31,atr_sell,-1.5982,13.99,-7.87,2026-08-24T13:21:00+00:00,dot,2026-08-24T13:21:12.024079+00:00,4.35,signal,-0.6849,4.19,-3.37,2026-08-24T13:31:00+00:00,hist,2026-08-24T13:31:00.156425+00:00,4.31,signal,-1.5982,13.99,-7.87,2026-08-24T13:21:00+00:00,dot,2026-08-24T13:21:12.024079+00:00,4.35,signal,-0.6849,4.19,-3.37,2026-08-24T13:31:00+00:00,hist,2026-08-24T13:31:00.156425+00:00,4.31,signal,-1.5982,13.99,-7.87
2026-08-24,BTCT,2026-08-24T13:27:00+00:00,2026-08-24T13:27:00.003525+00:00,1.69,False,-0.5917,62.1302,,atr_sell,2026-08-24T13:33:00.723919+00:00,1.57,atr_sell,-7.1006,6.01,-11.43,,atr_sell,2026-08-24T13:33:00.723919+00:00,1.57,atr_sell,-7.1006,6.01,-11.43,2026-08-24T13:29:00+00:00,dot,2026-08-24T13:29:00.890678+00:00,1.63,signal,-3.5503,2.01,-5.71,2026-08-24T13:32:00+00:00,hist,2026-08-24T13:32:00.252955+00:00,1.58,signal,-6.5089,5.0,-10.48,2026-08-24T13:29:00+00:00,dot,2026-08-24T13:29:00.890678+00:00,1.63,signal,-3.5503,2.01,-5.71,2026-08-24T13:32:00+00:00,hist,2026-08-24T13:32:00.252955+00:00,1.58,signal,-6.5089,5.0,-10.48
2026-08-24,XPON,2026-08-24T13:34:00+00:00,2026-08-24T13:34:00.057978+00:00,8.75,False,1.2571,5.6,,hard_stop,2026-08-24T13:34:38.358311+00:00,7.87,hard_stop,-10.0571,0.64,-179.59,,atr_sell,2026-08-24T14:09:00.122417+00:00,6.64,atr_sell,-24.1143,35.0,-430.61,2026-08-24T13:37:00+00:00,dot,2026-08-24T13:37:00.263346+00:00,8.07,signal,-7.7714,3.0,-138.78,2026-08-24T13:37:00+00:00,hist,2026-08-24T13:37:00.263346+00:00,8.07,signal,-7.7714,3.0,-138.78,2026-08-24T13:37:00+00:00,dot+hist,2026-08-24T13:37:00.263346+00:00,8.07,signal,-7.7714,3.0,-138.78,2026-08-24T13:37:00+00:00,dot+hist,2026-08-24T13:37:00.263346+00:00,8.07,signal,-7.7714,3.0,-138.78
2026-08-24,BTCT,2026-08-24T13:55:00+00:00,2026-08-24T13:55:00.494736+00:00,1.63,True,68.0982,68.0982,,target,2026-08-24T14:03:14.380964+00:00,1.7115,target,5.0,8.23,7.34,,atr_sell,2026-08-24T15:11:00.562665+00:00,2.22,atr_sell,36.1963,76.0,53.15,2026-08-24T13:59:00+00:00,dot,2026-08-24T13:59:00.960758+00:00,1.6,signal,-1.8405,4.01,-2.7,2026-08-24T14:21:00+00:00,hist,2026-08-24T14:21:00.051360+00:00,2.19,signal,34.3558,25.99,50.45,2026-08-24T13:59:00+00:00,dot,2026-08-24T13:59:00.960758+00:00,1.6,signal,-1.8405,4.01,-2.7,2026-08-24T14:21:00+00:00,hist,2026-08-24T14:21:00.051360+00:00,2.19,signal,34.3558,25.99,50.45
2026-08-24,XPON,2026-08-24T14:56:00+00:00,2026-08-24T14:56:00.226711+00:00,7.18,True,28.6908,28.6908,,target,2026-08-24T15:08:23.558315+00:00,7.539,target,5.0,12.39,17.43,,atr_sell,2026-08-24T16:25:00.630183+00:00,7.29,atr_sell,1.532,89.01,5.34,2026-08-24T14:59:00+00:00,dot,2026-08-24T14:59:00.202508+00:00,6.96,signal,-3.0641,3.0,-10.68,2026-08-24T15:28:00+00:00,hist,2026-08-24T15:28:00.278015+00:00,7.77,signal,8.2173,32.0,28.64,2026-08-24T14:59:00+00:00,dot,2026-08-24T14:59:00.202508+00:00,6.96,signal,-3.0641,3.0,-10.68,2026-08-24T15:28:00+00:00,hist,2026-08-24T15:28:00.278015+00:00,7.77,signal,8.2173,32.0,28.64
2026-08-24,BTCT,2026-08-24T15:28:00+00:00,2026-08-24T15:28:00.598358+00:00,2.38,False,-0.4202,1.6807,,hard_stop,2026-08-24T15:33:48.585867+00:00,2.14,hard_stop,-10.084,5.8,-600.0,,atr_sell,2026-08-24T15:34:00.071971+00:00,2.11,atr_sell,-11.3445,5.99,-675.0,2026-08-24T15:31:00+00:00,dot,2026-08-24T15:31:01.939508+00:00,2.29,signal,-3.7815,3.02,-225.0,2026-08-24T15:33:00+00:00,hist,2026-08-24T15:33:00.843050+00:00,2.29,signal,-3.7815,5.0,-225.0,2026-08-24T15:31:00+00:00,dot,2026-08-24T15:31:01.939508+00:00,2.29,signal,-3.7815,3.02,-225.0,2026-08-24T15:33:00+00:00,hist,2026-08-24T15:33:00.843050+00:00,2.29,signal,-3.7815,5.0,-225.0
2026-08-24,DAIC,2026-08-24T15:55:00+00:00,2026-08-24T15:55:00.214528+00:00,2.28,True,18.4211,37.7193,,target,2026-08-24T15:55:47.273376+00:00,2.394,target,5.0,0.78,13.26,,atr_sell,2026-08-24T16:38:00.233032+00:00,1.92,atr_sell,-15.7895,43.0,-41.86,2026-08-24T16:22:00+00:00,dot,2026-08-24T16:22:00.020399+00:00,2.08,signal,-8.7719,27.0,-23.26,2026-08-24T16:28:00+00:00,hist,2026-08-24T16:28:02.091552+00:00,1.84,signal,-19.2982,33.03,-51.16,2026-08-24T16:22:00+00:00,dot,2026-08-24T16:22:00.020399+00:00,2.08,signal,-8.7719,27.0,-23.26,2026-08-24T16:28:00+00:00,hist,2026-08-24T16:28:02.091552+00:00,1.84,signal,-19.2982,33.03,-51.16
