day,symbol,attempt,opening_high,entry_time_et
2026-08-24,XPON,1,8.41,09:30:45
2026-08-24,XPON,2,8.41,09:31:56
2026-08-24,XPON,3,8.41,09:32:00
2026-08-24,XPON,4,8.41,09:33:04
2026-08-24,XPON,5,8.41,09:34:00
2026-08-24,XPON,6,8.41,09:35:00
2026-08-24,BTCT,1,1.7,09:35:00
2026-08-24,XPON,7,8.41,09:53:00
2026-08-24,XPON,8,8.41,09:54:00
2026-08-24,XPON,9,8.41,09:55:00
2026-08-25,DAIC,1,3.86,09:30:21
2026-08-25,DAIC,2,3.86,09:31:00
2026-08-25,DAIC,3,3.86,09:38:07
2026-08-26,DAIC,1,6.35,09:30:04
2026-08-26,VCIG,1,4.06,09:30:10
2026-08-26,MSS,1,2.07,09:30:15
2026-08-26,CRE,1,6.37,09:30:42
2026-08-26,CRE,2,6.37,09:31:00
2026-08-26,DAIC,2,6.35,09:31:00
2026-08-26,YYGH,1,1.97,09:31:37
2026-08-26,CRE,3,6.37,09:32:00
2026-08-26,YYGH,2,1.97,09:39:55
2026-08-26,YYGH,3,1.97,09:40:00
2026-08-26,CRE,4,6.37,09:41:42
2026-08-26,CRE,5,6.37,09:42:00
2026-08-26,YYGH,4,1.97,09:42:20
2026-08-26,YYGH,5,1.97,09:43:00
2026-08-26,YYGH,6,1.97,09:44:04
2026-08-26,YYGH,7,1.97,09:45:00
2026-08-26,CRE,6,6.37,09:46:05
2026-08-26,CRE,7,6.37,09:58:23
2026-08-27,PPCB,1,3.62,09:30:05
2026-08-27,PPCB,2,3.62,09:31:06
2026-08-27,PPCB,3,3.62,09:32:00
2026-08-27,PPCB,4,3.62,09:33:13
2026-08-27,PPCB,5,3.62,09:34:00
2026-08-27,PPCB,6,3.62,09:36:16
2026-08-27,PPCB,7,3.62,09:37:00
2026-08-27,PPCB,8,3.62,09:38:00
2026-08-27,PPCB,9,3.62,09:39:00
2026-08-27,PPCB,10,3.62,09:40:00
2026-08-27,PPCB,11,3.62,09:45:02
2026-08-28,QNRX,1,7.49,09:30:10
2026-08-28,QNRX,2,7.49,09:32:49
2026-08-28,QNRX,3,7.49,09:33:00
2026-08-28,QNRX,4,7.49,09:34:00
2026-08-28,QNRX,5,7.49,09:40:46
2026-08-28,QNRX,6,7.49,09:41:03
2026-08-28,QNRX,7,7.49,09:42:00
2026-08-28,QNRX,8,7.49,09:49:37
2026-08-28,QNRX,9,7.49,09:50:58
2026-08-28,QNRX,10,7.49,09:51:00
2026-08-28,QNRX,11,7.49,09:55:52
2026-08-28,QNRX,12,7.49,09:56:05
2026-08-31,AEHL,1,6.92,09:30:13
2026-08-31,RDHL,1,1.42,09:30:53
2026-08-31,AEHL,2,6.92,09:31:00
2026-08-31,AEHL,3,6.92,09:32:00
2026-08-31,AEHL,4,6.92,09:33:00
2026-08-31,AEHL,5,6.92,09:34:00
2026-08-31,YDDL,1,2.49,09:34:26
2026-08-31,RDHL,2,1.42,09:35:14
2026-08-31,AEHL,6,6.92,09:35:19
2026-08-31,YDDL,2,2.49,09:35:31
2026-08-31,RDHL,3,1.42,09:36:00
2026-08-31,YDDL,3,2.49,09:37:28
2026-08-31,YDDL,4,2.49,09:38:15
2026-08-31,YDDL,5,2.49,09:39:03
2026-08-31,YDDL,6,2.49,09:40:00
2026-08-31,YDDL,7,2.49,09:41:03
2026-08-31,RDHL,4,1.42,09:42:02
2026-08-31,YDDL,8,2.49,09:42:30
2026-08-31,YDDL,9,2.49,09:43:00
2026-08-31,YDDL,10,2.49,09:44:00
2026-09-01,BIAF,1,7.99,09:30:05
2026-09-01,BIAF,2,7.99,09:31:43
2026-09-01,LIDR,1,1.61,09:34:13
2026-09-01,LIDR,2,1.61,09:35:00
2026-09-01,BIAF,3,7.99,09:36:00
2026-09-01,BIAF,4,7.99,09:37:00
2026-09-01,SSM,1,3.9,09:37:41
2026-09-01,SSM,2,3.9,09:38:00
2026-09-01,BIAF,5,7.99,09:38:00
2026-09-01,SSM,3,3.9,09:39:00
2026-09-01,SSM,4,3.9,09:51:50
2026-09-01,SSM,5,3.9,09:52:03
2026-09-02,PPBT,1,2.46,09:30:22
2026-09-02,VIVK,1,1.11,09:30:29
2026-09-02,VIVK,2,1.11,09:31:00
2026-09-02,PPBT,2,2.46,09:31:08
2026-09-02,PPBT,3,2.46,09:32:09
2026-09-02,PPBT,4,2.46,09:33:00
2026-09-02,PPBT,5,2.46,09:34:00
2026-09-02,PPBT,6,2.46,09:44:03
2026-09-02,LHAI,1,1.26,09:58:44
2026-09-03,MIMI,1,1.17,09:30:08
2026-09-03,GELS,1,1.02,09:30:34
2026-09-03,GELS,2,1.02,09:31:00
