day,target_pct,symbol,attempt,opening_high,entry_time_et,entry_price,slip_pct,max_down_to_target_or_1000,max_down_at_et,target_at_et,target_result,note,qualification
2026-08-24,3,XPON,1,8.41,09:30:45,8.420000,0.118906064209274673008323400,-8.788598574821852731591448930,09:30,09:32,09:32,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-24,3,XPON,2,8.41,09:31:56,8.410000,0.0000,-1.545778834720570749108204520,09:31,09:32,09:32,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-24,3,XPON,3,8.41,09:32:00,8.420000,0.118906064209274673008323400,-1.068883610451306413301662710,09:32,09:32,09:32,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-24,3,XPON,4,8.41,09:33:04,8.420000,0.118906064209274673008323400,-1.425178147268408551068883610,09:33,09:33,09:33,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-24,3,XPON,5,8.41,09:34:00,,,,-,-,UNANSWERABLE,post-break asks do not enter the trigger-to-+1.5% fill band,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-24,3,BTCT,1,1.7,09:35:00,1.700000,0.00000,-14.11764705882352941176470588,09:42,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-24,3,XPON,6,8.41,09:35:00,8.410000,0.0000,-18.78715814506539833531510107,09:52,09:53,09:53,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-24,3,XPON,7,8.41,09:53:00,8.420000,0.118906064209274673008323400,-0.3562945368171021377672209000,09:53,09:53,09:53,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-24,3,XPON,8,8.41,09:54:00,8.530000,1.426872770511296076099881100,-17.81946072684642438452520516,09:56,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-24,3,XPON,9,8.41,09:55:00,8.410000,0.0000,-16.64684898929845422116527943,09:56,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-25,3,DAIC,1,3.86,09:30:21,,,,-,-,UNANSWERABLE,post-break asks remain below the fixed trigger,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-25,3,DAIC,2,3.86,09:31:00,3.910000,1.295336787564766839378238300,-0.7672634271099744245524296700,09:31,09:31,09:31,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-25,3,DAIC,3,3.86,09:38:07,,,,-,-,UNANSWERABLE,post-break asks do not enter the trigger-to-+1.5% fill band,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,DAIC,1,6.35,09:30:04,,,,-,-,UNANSWERABLE,post-break asks remain below the fixed trigger,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,VCIG,1,4.06,09:30:10,4.060000,0.0000,-15.02463054187192118226600985,09:30,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,MSS,1,2.07,09:30:15,2.100000,1.449275362318840579710144900,-12.85714285714285714285714286,09:31,09:35,09:35,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,CRE,1,6.37,09:30:42,6.370000,0.0000,-0.7849293563579277864992150700,09:30,09:30,09:30,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,CRE,2,6.37,09:31:00,6.420000,0.784929356357927786499215100,-1.869158878504672897196261680,09:31,09:31,09:31,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,DAIC,2,6.35,09:31:00,6.400000,0.787401574803149606299212600,-21.87500,09:58,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,YYGH,1,1.97,09:31:37,1.970000,0.0000,-7.106598984771573604060913710,09:32,09:43,09:43,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,CRE,3,6.37,09:32:00,,,,-,-,UNANSWERABLE,post-break asks do not enter the trigger-to-+1.5% fill band,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,YYGH,2,1.97,09:39:55,1.970000,0.0000,-2.538071065989847715736040610,09:40,09:43,09:43,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,YYGH,3,1.97,09:40:00,1.990000,1.015228426395939086294416200,-3.517587939698492462311557790,09:40,09:43,09:43,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,CRE,4,6.37,09:41:42,6.440000,1.098901098901098901098901100,-12.11180124223602484472049689,09:49,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,CRE,5,6.37,09:42:00,6.390000,0.313971742543171114599686000,-11.42410015649452269170579030,09:49,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,YYGH,4,1.97,09:42:20,1.970000,0.0000,-1.015228426395939086294416240,09:42,09:43,09:43,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,YYGH,5,1.97,09:43:00,1.990000,1.015228426395939086294416200,-0.5025125628140703517587939700,09:43,09:43,09:43,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,YYGH,6,1.97,09:44:04,1.990000,1.015228426395939086294416200,-11.05527638190954773869346734,09:56,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,YYGH,7,1.97,09:45:00,,,,-,-,UNANSWERABLE,post-break asks do not enter the trigger-to-+1.5% fill band,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,CRE,6,6.37,09:46:05,6.370000,0.0000,-11.14599686028257456828885400,09:49,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,3,CRE,7,6.37,09:58:23,6.380000,0.156985871271585557299843000,-4.388714733542319749216300940,09:59,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,3,PPCB,1,3.62,09:30:05,,,,-,-,UNANSWERABLE,post-break asks remain below the fixed trigger,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,3,PPCB,2,3.62,09:31:06,3.620000,0.0000,-0.8287292817679558011049723800,09:31,09:31,09:31,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,3,PPCB,3,3.62,09:32:00,,,,-,-,UNANSWERABLE,post-break asks do not enter the trigger-to-+1.5% fill band,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,3,PPCB,4,3.62,09:33:13,,,,-,-,UNANSWERABLE,post-break asks do not enter the trigger-to-+1.5% fill band,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,3,PPCB,5,3.62,09:34:00,,,,-,-,UNANSWERABLE,post-break asks do not enter the trigger-to-+1.5% fill band,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,3,PPCB,6,3.62,09:36:16,,,,-,-,UNANSWERABLE,post-break asks remain below the fixed trigger,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,3,PPCB,7,3.62,09:37:00,3.620000,0.0000,-3.867403314917127071823204420,09:37,09:40,09:40,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,3,PPCB,8,3.62,09:38:00,3.620000,0.0000,-2.209944751381215469613259670,09:38,09:40,09:40,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,3,PPCB,9,3.62,09:39:00,3.630000,0.276243093922651933701657500,-1.928374655647382920110192840,09:39,09:40,09:40,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,3,PPCB,10,3.62,09:40:00,,,,-,-,UNANSWERABLE,post-break asks do not enter the trigger-to-+1.5% fill band,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,3,PPCB,11,3.62,09:45:02,3.630000,0.276243093922651933701657500,-15.42699724517906336088154270,09:48,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,3,QNRX,1,7.49,09:30:10,,,,-,-,UNANSWERABLE,post-break asks remain below the fixed trigger,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,3,QNRX,2,7.49,09:32:49,7.490000,0.0000,-1.468624833110814419225634180,09:32,09:33,09:33,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,3,QNRX,3,7.49,09:33:00,,,,-,-,UNANSWERABLE,post-break asks do not enter the trigger-to-+1.5% fill band,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,3,QNRX,4,7.49,09:34:00,7.600000,1.468624833110814419225634200,-0.9210526315789473684210526300,09:34,09:35,09:35,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,3,QNRX,5,7.49,09:40:46,7.600000,1.468624833110814419225634200,-3.289473684210526315789473680,09:41,09:42,09:42,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,3,QNRX,6,7.49,09:41:03,7.490000,0.0000,-1.068090787716955941255006680,09:41,09:42,09:42,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,3,QNRX,7,7.49,09:42:00,,,,-,-,UNANSWERABLE,post-break asks do not enter the trigger-to-+1.5% fill band,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,3,QNRX,8,7.49,09:49:37,7.600000,1.468624833110814419225634200,-6.447368421052631578947368420,09:57,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,3,QNRX,9,7.49,09:50:58,7.490000,0.0000,-5.073431241655540720961281710,09:57,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,3,QNRX,10,7.49,09:51:00,7.500000,0.133511348464619492656875800,-5.200,09:57,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,3,QNRX,11,7.49,09:55:52,7.500000,0.133511348464619492656875800,-5.200,09:57,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,3,QNRX,12,7.49,09:56:05,7.500000,0.133511348464619492656875800,-5.200,09:57,-,NEVER REACHED,ASSUMED POST-BREAK ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,3,AEHL,1,6.92,09:30:13,,,,-,-,UNANSWERABLE,post-break asks remain below the fixed trigger,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,3,RDHL,1,1.42,09:30:53,,,,-,-,UNANSWERABLE,post-break asks remain below the fixed trigger,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,3,AEHL,2,6.92,09:31:00,,,,-,-,UNANSWERABLE,post-break asks do not enter the trigger-to-+1.5% fill band,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
