Path,Symbol,EntryTime,EntryPrice,ExitTime,ExitPrice,Shares,ExitReason,PnL$,PnL%,CumTradePnL$
P1-MACD Cross,VSME,09:32,1.945,09:33,2.0228,7,scale+4% *AMBIG,0.5446,4.0,0.5446
P1-MACD Cross,VSME,09:32,1.945,09:33,2.0908,3,floor+7.50% *AMBIG,0.4374,7.496,0.982
P2-VWAP Breakout,VSME,14:03,1.89,14:04,1.9656,7,scale+4% *AMBIG,0.5292,4.0,0.5292
P2-VWAP Breakout,VSME,14:03,1.89,14:04,1.9517,3,floor+3.26% *AMBIG,0.1851,3.265,0.7143
P2-VWAP Breakout,VSME,15:26,1.9477,15:27,1.9185,10,hard-stop,-0.292,-1.499,-0.292
P2-VWAP Breakout,VSME,16:52,1.98,16:53,1.98,10,floor@BE,0.0,0.0,0.0
"P3-B(touch,vol>5k)",VSME,08:03,1.8272,08:04,1.9003,7,scale+4%,0.5117,4.001,0.5117
"P3-B(touch,vol>5k)",VSME,08:03,1.8272,08:04,1.8926,3,floor+3.58%,0.1962,3.579,0.7079
"P3-B(touch,vol>5k)",VSME,08:43,1.7404,08:44,1.81,7,scale+4%,0.4872,3.999,0.4872
"P3-B(touch,vol>5k)",VSME,08:43,1.7404,08:44,1.7939,3,floor+3.07%,0.1605,3.074,0.6477
"P3-B(touch,vol>5k)",VSME,10:19,1.8097,10:21,1.8459,5,scale+2% *AMBIG,0.181,2.0,0.181
"P3-B(touch,vol>5k)",VSME,10:19,1.8097,10:21,1.8368,5,floor+1.50% *AMBIG,0.1355,1.497,0.3165
"P3-B(touch,vol>5k)",VSME,10:32,1.8509,10:33,1.8509,10,floor@BE *AMBIG,0.0,0.0,0.0
"P3-B(touch,vol>5k)",VSME,11:19,1.7737,11:20,1.7471,10,hard-stop,-0.266,-1.5,-0.266
"P3-B(touch,vol>5k)",VSME,12:35,1.6149,12:36,1.6795,7,scale+4%,0.4522,4.0,0.4522
"P3-B(touch,vol>5k)",VSME,12:35,1.6149,12:36,1.6758,3,floor+3.77%,0.1827,3.771,0.6349
"P3-B(touch,vol>5k)",VSME,13:49,1.6898,13:52,1.6898,10,floor@BE,0.0,0.0,0.0
"P3-B(touch,vol>5k)",VSME,15:25,1.8677,15:26,1.9424,7,scale+4%,0.5229,4.0,0.5229
"P3-B(touch,vol>5k)",VSME,15:25,1.8677,15:26,1.932,3,floor+3.44%,0.1929,3.443,0.7158
"P3-B(touch,vol>5k)",VSME,16:04,1.8113,16:05,1.8838,7,scale+4%,0.5075,4.003,0.5075
"P3-B(touch,vol>5k)",VSME,16:04,1.8113,16:05,1.9322,3,floor+6.68%,0.3627,6.675,0.8702
"P3-B(touch,vol>5k)",VSME,16:40,1.7656,16:41,1.8362,7,scale+4%,0.4942,3.999,0.4942
"P3-B(touch,vol>5k)",VSME,16:40,1.7656,16:41,1.8116,3,floor+2.61%,0.138,2.605,0.6322
"P3-B(touch,vol>5k)",VSME,18:18,2.1034,18:19,2.1875,7,scale+4% *AMBIG,0.5887,3.998,0.5887
"P3-B(touch,vol>5k)",VSME,18:18,2.1034,18:19,2.1593,3,floor+2.66% *AMBIG,0.1677,2.658,0.7564
"P3-A(flip,vol>5k)",VSME,08:03,1.92,08:04,1.8912,10,hard-stop,-0.288,-1.5,-0.288
"P3-A(flip,vol>5k)",VSME,08:43,1.7601,08:44,1.7953,5,scale+2%,0.176,2.0,0.176
"P3-A(flip,vol>5k)",VSME,08:43,1.7601,08:44,1.7865,5,floor+1.50%,0.132,1.5,0.308
"P3-A(flip,vol>5k)",VSME,10:21,1.8798,10:22,1.8516,10,hard-stop,-0.282,-1.5,-0.282
"P3-A(flip,vol>5k)",VSME,10:32,1.87,10:33,1.8419,10,hard-stop,-0.281,-1.503,-0.281
"P3-A(flip,vol>5k)",VSME,11:26,1.7799,11:28,1.7532,10,hard-stop,-0.267,-1.5,-0.267
"P3-A(flip,vol>5k)",VSME,12:35,1.71,12:36,1.6844,10,hard-stop,-0.256,-1.497,-0.256
"P3-A(flip,vol>5k)",VSME,15:26,1.9477,15:27,1.9185,10,hard-stop,-0.292,-1.499,-0.292
"P3-A(flip,vol>5k)",VSME,16:04,1.93,16:05,1.93,10,floor@BE *AMBIG,0.0,0.0,0.0
