Day,Path,Symbol,EntryTime,EntryPrice,ExitTime,ExitPrice,Shares,ExitReason,PnL$,PnL%,CumTradePnL$
2026-06-08,"P3-B(touch,vol>5k)",INHD,12:48,7.3293,12:49,7.6225,7,scale+4%,2.0524,4.0,2.0524
2026-06-08,"P3-B(touch,vol>5k)",INHD,12:48,7.3293,13:05,9.3901,3,floor+28.12%,6.1824,28.117,8.2348
2026-06-08,P1-MACD Cross,INHD,10:07,2.5963,10:08,2.7002,7,scale+4% *AMBIG,0.7273,4.002,0.7273
2026-06-08,P1-MACD Cross,INHD,10:07,2.5963,10:08,2.8511,3,floor+9.81% *AMBIG,0.7644,9.814,1.4917
2026-06-08,P1-MACD Cross,INHD,10:54,4.21,10:55,4.3784,7,scale+4% *AMBIG,1.1788,4.0,1.1788
2026-06-08,P1-MACD Cross,INHD,10:54,4.21,10:55,4.4669,3,floor+6.10% *AMBIG,0.7707,6.102,1.9495
2026-06-08,P1-MACD Cross,INHD,11:38,7.4981,11:39,7.798,7,scale+4%,2.0993,4.0,2.0993
2026-06-08,P1-MACD Cross,INHD,11:38,7.4981,11:39,8.0575,3,floor+7.46%,1.6782,7.461,3.7775
2026-06-08,P2-VWAP Breakout,INHD,09:53,1.98,09:54,2.0592,7,scale+4%,0.5544,4.0,0.5544
2026-06-08,P2-VWAP Breakout,INHD,09:53,1.98,09:54,2.4003,3,floor+21.23%,1.2609,21.227,1.8153
2026-06-08,"P3-B(touch,vol>5k)",BYAH,15:37,2.5652,15:38,2.6678,7,scale+4% *AMBIG,0.7182,4.0,0.7182
2026-06-08,"P3-B(touch,vol>5k)",BYAH,15:37,2.5652,15:38,2.6315,3,floor+2.59% *AMBIG,0.1989,2.585,0.9171
2026-06-08,"P3-B(touch,vol>5k)",BYAH,16:47,1.8834,16:48,1.9587,7,scale+4% *AMBIG,0.5271,3.998,0.5271
2026-06-08,"P3-B(touch,vol>5k)",BYAH,16:47,1.8834,16:48,1.9317,3,floor+2.57% *AMBIG,0.1449,2.565,0.672
2026-06-08,"P3-B(touch,vol>5k)",BYAH,17:36,1.4886,17:37,1.5481,7,scale+4%,0.4165,3.997,0.4165
2026-06-08,"P3-B(touch,vol>5k)",BYAH,17:36,1.4886,17:37,1.6577,3,floor+11.36%,0.5073,11.36,0.9238
2026-06-08,P2-VWAP Breakout,BYAH,13:22,1.96,13:23,1.9992,5,scale+2% *AMBIG,0.196,2.0,0.196
2026-06-08,P2-VWAP Breakout,BYAH,13:22,1.96,13:23,1.9894,5,floor+1.50% *AMBIG,0.147,1.5,0.343
2026-06-08,P2-VWAP Breakout,BYAH,15:39,3.2254,15:40,3.3544,7,scale+4% *AMBIG,0.903,4.0,0.903
2026-06-08,P2-VWAP Breakout,BYAH,15:39,3.2254,15:40,3.7015,3,floor+14.76% *AMBIG,1.4283,14.761,2.3313
2026-06-08,"P3-B(touch,vol>5k)",CHAI,10:41,0.836,11:22,0.836,10,floor@BE,0.0,0.0,0.0
2026-06-08,"P3-B(touch,vol>5k)",CHAI,16:26,0.8213,16:27,0.8542,7,scale+4%,0.2303,4.006,0.2303
2026-06-08,"P3-B(touch,vol>5k)",CHAI,16:26,0.8213,16:27,1.2277,3,floor+49.48%,1.2192,49.483,1.4495
2026-06-08,"P3-B(touch,vol>5k)",CHAI,17:13,2.6938,17:14,2.8016,7,scale+4%,0.7546,4.002,0.7546
2026-06-08,"P3-B(touch,vol>5k)",CHAI,17:13,2.6938,17:14,3.3496,3,floor+24.34%,1.9674,24.345,2.722
2026-06-08,"P3-B(touch,vol>5k)",CHAI,18:48,2.5979,18:49,2.6499,5,scale+2%,0.26,2.002,0.26
2026-06-08,"P3-B(touch,vol>5k)",CHAI,18:48,2.5979,18:49,2.6369,5,floor+1.50%,0.195,1.501,0.455
2026-06-08,P1-MACD Cross,CHAI,19:34,3.2003,19:35,3.1523,10,hard-stop,-0.48,-1.5,-0.48
2026-06-08,P1-MACD Cross,CHAI,19:48,3.1703,19:49,3.1227,10,hard-stop,-0.476,-1.501,-0.476
2026-06-08,P2-VWAP Breakout,CHAI,18:57,2.9,18:58,2.8565,10,hard-stop,-0.435,-1.5,-0.435
2026-06-08,P2-VWAP Breakout,CHAI,18:59,2.95,19:00,3.068,7,scale+4% *AMBIG,0.826,4.0,0.826
2026-06-08,P2-VWAP Breakout,CHAI,18:59,2.95,19:00,3.0756,3,floor+4.26% *AMBIG,0.3768,4.258,1.2028
2026-06-08,P2-VWAP Breakout,CHAI,19:05,3.09,19:06,3.1518,5,scale+2% *AMBIG,0.309,2.0,0.309
2026-06-08,P2-VWAP Breakout,CHAI,19:05,3.09,19:06,3.1054,5,floor+0.50% *AMBIG,0.077,0.498,0.386
2026-06-08,"P3-B(touch,vol>5k)",BGI,17:41,0.6344,17:42,0.6598,7,scale+4%,0.1778,4.004,0.1778
2026-06-08,"P3-B(touch,vol>5k)",BGI,17:41,0.6344,17:42,1.0305,3,floor+62.43%,1.1883,62.437,1.3661
2026-06-08,"P3-B(touch,vol>5k)",BGI,19:23,0.6154,19:24,0.6062,10,hard-stop,-0.092,-1.495,-0.092
2026-06-08,"P3-B(touch,vol>5k)",CCTG,16:00,0.5121,16:01,0.5326,7,scale+4% *AMBIG,0.1435,4.003,0.1435
2026-06-08,"P3-B(touch,vol>5k)",CCTG,16:00,0.5121,16:01,0.7422,3,floor+44.94% *AMBIG,0.6903,44.933,0.8338
2026-06-08,"P3-B(touch,vol>5k)",CCTG,17:07,1.2321,17:08,1.2567,5,scale+2% *AMBIG,0.123,1.997,0.123
2026-06-08,"P3-B(touch,vol>5k)",CCTG,17:07,1.2321,17:08,1.2383,5,floor+0.50% *AMBIG,0.031,0.503,0.154
2026-06-08,"P3-B(touch,vol>5k)",CCTG,18:14,0.9214,18:15,0.9076,10,hard-stop,-0.138,-1.498,-0.138
2026-06-09,"P3-B(touch,vol>5k)",AZI,09:30,3.4873,09:31,3.6268,7,scale+4% *AMBIG,0.9765,4.0,0.9765
2026-06-09,"P3-B(touch,vol>5k)",AZI,09:30,3.4873,09:31,3.8477,3,floor+10.33% *AMBIG,1.0812,10.335,2.0577
2026-06-09,"P3-B(touch,vol>5k)",AZI,11:30,3.6829,11:31,3.6277,10,hard-stop,-0.552,-1.499,-0.552
2026-06-09,"P3-B(touch,vol>5k)",AZI,13:20,5.1244,13:21,5.3294,7,scale+4%,1.435,4.0,1.435
2026-06-09,"P3-B(touch,vol>5k)",AZI,13:20,5.1244,13:21,5.3531,3,floor+4.46%,0.6861,4.463,2.1211
2026-06-09,"P3-B(touch,vol>5k)",AZI,16:08,2.1973,16:09,2.2852,7,scale+4%,0.6153,4.0,0.6153
2026-06-09,"P3-B(touch,vol>5k)",AZI,16:08,2.1973,16:09,2.967,3,floor+35.03%,2.3091,35.029,2.9244
2026-06-09,"P3-B(touch,vol>5k)",AZI,17:39,2.2491,17:40,2.2941,5,scale+2%,0.225,2.001,0.225
2026-06-09,"P3-B(touch,vol>5k)",AZI,17:39,2.2491,17:40,2.2603,5,floor+0.50%,0.056,0.498,0.281
2026-06-09,"P3-B(touch,vol>5k)",AZI,18:37,2.3818,18:38,2.4771,7,scale+4%,0.6671,4.001,0.6671
2026-06-09,"P3-B(touch,vol>5k)",AZI,18:37,2.3818,18:38,2.4643,3,floor+3.46%,0.2475,3.464,0.9146
2026-06-09,P1-MACD Cross,AZI,12:18,5.87,12:19,6.1048,7,scale+4%,1.6436,4.0,1.6436
2026-06-09,P1-MACD Cross,AZI,12:18,5.87,12:19,6.412,3,floor+9.23%,1.626,9.233,3.2696
2026-06-09,P2-VWAP Breakout,AZI,14:15,5.42,14:16,5.5284,5,scale+2% *AMBIG,0.542,2.0,0.542
2026-06-09,P2-VWAP Breakout,AZI,14:15,5.42,14:16,5.5013,5,floor+1.50% *AMBIG,0.4065,1.5,0.9485
2026-06-09,"P3-B(touch,vol>5k)",CCTG,08:19,2.2063,08:20,2.2946,7,scale+4% *AMBIG,0.6181,4.002,0.6181
2026-06-09,"P3-B(touch,vol>5k)",CCTG,08:19,2.2063,08:20,2.2669,3,floor+2.75% *AMBIG,0.1818,2.747,0.7999
2026-06-09,"P3-B(touch,vol>5k)",CCTG,12:12,3.2842,12:27,3.2349,10,hard-stop,-0.493,-1.501,-0.493
2026-06-09,"P3-B(touch,vol>5k)",CCTG,15:25,2.2821,15:26,2.3277,5,scale+2% *AMBIG,0.228,1.998,0.228
2026-06-09,"P3-B(touch,vol>5k)",CCTG,15:25,2.2821,15:26,2.3163,5,floor+1.50% *AMBIG,0.171,1.499,0.399
2026-06-09,"P3-B(touch,vol>5k)",CCTG,16:00,2.04,16:01,2.1216,7,scale+4%,0.5712,4.0,0.5712
