ticker,entry_price,exit_price,quantity,pnl,pnl_pct,reason,entry_time,exit_time,peak_profit_pct,tier,scales_done,path,scale_profile
AEHL,1.145,1.127825,10,-0.17,-1.5,HARD_STOP,08:36:25 AM ET,08:36:25 AM ET,0.0,1,,P4_BURST,NORMAL
AEHL,1.39,2.2,3,3.9,28.06,FLOOR_BREACH,08:36:25 AM ET,08:36:25 AM ET,88.49,3,FAST4,P4_BURST,NORMAL
AEHL,0.9683,1.01,3,0.42,4.31,FLOOR_BREACH,08:36:25 AM ET,08:36:25 AM ET,19.79,3,FAST4,P4_BURST,NORMAL
AEHL,0.9159,0.9807,4,0.45,4.93,FLOOR_BREACH,08:36:25 AM ET,08:36:25 AM ET,8.71,3,"PCT2,PCT4_AFTER2",P4_BURST,NORMAL
AEHL,1.1,1.0835000000000001,10,-0.16,-1.5,HARD_STOP,08:36:25 AM ET,08:36:25 AM ET,0.0,1,,P4_BURST,NORMAL
AEHL,1.3798,1.359103,10,-0.21,-1.5,HARD_STOP,08:36:25 AM ET,08:36:25 AM ET,0.0,1,,P4_BURST,NORMAL
AEHL,1.23,1.21155,10,-0.18,-1.5,HARD_STOP,08:36:25 AM ET,08:36:25 AM ET,1.63,2,,P4_BURST,NORMAL
AEHL,1.13,1.1130499999999999,10,-0.17,-1.5,HARD_STOP,08:36:26 AM ET,08:36:26 AM ET,0.0,1,,P4_BURST,NORMAL
AEHL,1.2,1.182,10,-0.18,-1.5,HARD_STOP,08:36:26 AM ET,08:36:26 AM ET,0.0,1,,P4_BURST,NORMAL
IREZ,6.23,6.136550000000001,10,-0.93,-1.5,HARD_STOP,08:36:39 AM ET,08:36:39 AM ET,0.0,1,,P4_BURST,NORMAL
MASK,2.7901,2.9999,3,2.66,9.53,FLOOR_BREACH,08:36:40 AM ET,08:36:40 AM ET,10.39,3,FAST4,P4_BURST,NORMAL
MASK,3.2999,3.2903,10,-0.1,-0.29,FLOOR_BREACH,08:36:40 AM ET,08:36:40 AM ET,1.21,2,,P4_BURST,NORMAL
MASK,3.5099,3.4572515,10,-0.53,-1.5,HARD_STOP,08:36:41 AM ET,08:36:41 AM ET,0.0,1,,P4_BURST,NORMAL
ONEG,1.4606,1.46,10,-0.01,-0.04,FLOOR_BREACH,08:36:42 AM ET,08:36:42 AM ET,1.88,2,,P4_BURST,NORMAL
RPGL,2.62,2.5807,10,-0.39,-1.5,HARD_STOP,08:36:43 AM ET,08:36:43 AM ET,0.0,1,,P4_BURST,NORMAL
RPGL,1.1295,1.1125574999999999,10,-0.17,-1.5,HARD_STOP,08:36:44 AM ET,08:36:44 AM ET,0.0,1,,P4_BURST,NORMAL
AEHL,1.22,1.2017,5,0.11,0.88,HARD_STOP,08:36:53 AM ET,08:36:53 AM ET,4.06,3,PCT2,P4_BURST,NORMAL
AIIO,1.145,1.1301,10,-0.15,-1.3,STOCHK_TIER1,08:36:55 AM ET,08:36:55 AM ET,0.0,1,,P4_BURST,NORMAL
AMBO,3.8511,3.9,5,0.74,1.92,FLOOR_BREACH,08:36:57 AM ET,08:36:57 AM ET,3.09,3,PCT2,P4_BURST,NORMAL
AMBO,3.75,3.69375,10,-0.56,-1.5,HARD_STOP,08:36:57 AM ET,08:36:57 AM ET,0.27,1,,P4_BURST,NORMAL
CLIK,3.98,4.3897,4,2.36,5.93,FLOOR_BREACH,08:36:59 AM ET,08:36:59 AM ET,12.56,3,"PCT2,PCT4_AFTER2",P4_BURST,NORMAL
CLIK,5.095,5.018574999999999,10,-0.76,-1.5,HARD_STOP,08:36:59 AM ET,08:36:59 AM ET,0.0,1,,P4_BURST,NORMAL
CLIK,3.7065,3.6509025,10,-0.56,-1.5,HARD_STOP,08:36:59 AM ET,08:36:59 AM ET,0.0,1,,P4_BURST,NORMAL
CLIK,3.3106,3.260941,10,-0.5,-1.5,HARD_STOP,08:36:59 AM ET,08:36:59 AM ET,0.0,1,,P4_BURST,NORMAL
CLIK,2.1811,2.1483835,10,-0.33,-1.5,HARD_STOP,08:37:00 AM ET,08:37:00 AM ET,1.78,2,,P4_BURST,NORMAL
HTCO,7.6,7.486,10,-1.14,-1.5,HARD_STOP,08:37:18 AM ET,08:37:18 AM ET,0.35,1,,P4_BURST,NORMAL
HTCO,6.8,6.6979999999999995,10,-1.02,-1.5,HARD_STOP,08:37:18 AM ET,08:37:18 AM ET,0.0,1,,P4_BURST,NORMAL
JZXN,1.27,1.25095,10,-0.19,-1.5,HARD_STOP,08:37:19 AM ET,08:37:19 AM ET,0.0,1,,P4_BURST,NORMAL
JZXN,1.318,1.5079,3,1.49,11.31,FLOOR_BREACH,08:37:19 AM ET,08:37:19 AM ET,16.08,3,FAST4,P4_BURST,NORMAL
JZXN,1.325,1.3051249999999999,3,0.47,3.52,HARD_STOP,08:37:19 AM ET,08:37:19 AM ET,5.67,3,FAST4,P4_BURST,NORMAL
JZXN,1.48,1.4578,10,-0.22,-1.5,HARD_STOP,08:37:19 AM ET,08:37:19 AM ET,0.66,1,,P4_BURST,NORMAL
JZXN,1.59,1.5661500000000002,10,-0.24,-1.5,HARD_STOP,08:37:19 AM ET,08:37:19 AM ET,0.0,1,,P4_BURST,NORMAL
JZXN,1.68,1.8212,4,1.03,6.15,FLOOR_BREACH,08:37:19 AM ET,08:37:19 AM ET,10.05,3,"PCT2,PCT4_AFTER2",P4_BURST,NORMAL
JZXN,1.62,1.5957000000000001,10,-0.24,-1.5,HARD_STOP,08:37:19 AM ET,08:37:19 AM ET,0.0,1,,P4_BURST,NORMAL
ODYS,10.81,10.64785,10,-1.62,-1.5,HARD_STOP,08:37:21 AM ET,08:37:21 AM ET,0.0,1,,P4_BURST,NORMAL
ODYS,7.29,7.18065,10,-1.09,-1.5,HARD_STOP,08:37:21 AM ET,08:37:21 AM ET,0.0,1,,P4_BURST,NORMAL
PMAX,3.13,3.08305,10,-0.47,-1.5,HARD_STOP,08:37:24 AM ET,08:37:24 AM ET,0.0,1,,P4_BURST,NORMAL
