symbol,date,chg_9am_pct,config,entry_time_ET,entry_px,exit_time_ET,exit_px,exit_reason,pnl_pct,pnl_usd,mfe_pct,mae_pct,hold_sec,spread,short_seg_bars
IQST,2026-06-25,41.7,+2%,2026-06-25 09:04:24,1.64,09:08:31,1.5,ATR_FLIP,-8.537,-1.4,0.0,-8.537,247,0.01,8
IQST,2026-06-25,41.7,+3%,2026-06-25 09:04:24,1.64,09:08:31,1.5,ATR_FLIP,-8.537,-1.4,0.0,-8.537,247,0.01,8
IQST,2026-06-25,41.7,flip_only,2026-06-25 09:04:24,1.64,09:08:31,1.5,ATR_FLIP,-8.537,-1.4,0.0,-8.537,247,0.01,8
IQST,2026-06-25,41.7,+2%,2026-06-25 09:16:20,1.47,09:17:20,1.4994,TARGET,2.0,0.294,11.565,-4.082,60,0.01,18
IQST,2026-06-25,41.7,+3%,2026-06-25 09:16:20,1.47,09:22:47,1.47,ATR_FLIP,0.0,0.0,11.565,-4.082,387,0.01,18
IQST,2026-06-25,41.7,flip_only,2026-06-25 09:16:20,1.47,09:22:47,1.47,ATR_FLIP,0.0,0.0,11.565,-4.082,387,0.01,18
AZI,2026-06-25,57.0,+2%,2026-06-25 09:21:47,1.88,09:31:17,1.82,ATR_FLIP,-3.191,-0.6,10.106,-11.17,569,0.01,15
AZI,2026-06-25,57.0,+3%,2026-06-25 09:21:47,1.88,09:31:17,1.82,ATR_FLIP,-3.191,-0.6,10.106,-11.17,569,0.01,15
AZI,2026-06-25,57.0,flip_only,2026-06-25 09:21:47,1.88,09:31:17,1.82,ATR_FLIP,-3.191,-0.6,10.106,-11.17,569,0.01,15
FCUV,2026-06-25,32.4,+2%,2026-06-25 09:24:28,6.05,09:31:01,5.77,ATR_FLIP,-4.628,-2.8,1.157,-4.628,393,0.03,5
FCUV,2026-06-25,32.4,+3%,2026-06-25 09:24:28,6.05,09:31:01,5.77,ATR_FLIP,-4.628,-2.8,1.157,-4.628,393,0.03,5
FCUV,2026-06-25,32.4,flip_only,2026-06-25 09:24:28,6.05,09:31:01,5.77,ATR_FLIP,-4.628,-2.8,1.157,-4.628,393,0.03,5
